rank_num,domain,taxon,taxon_rank,priority,sequences,file
265,bacteria,Neisseriaceae,family,18.3,373,265_Neisseriaceae_family.fna
266,bacteria,Fimbriimonadales,order,18.04,3,266_Fimbriimonadales_order.fna
267,bacteria,Thermoanaerobaculaceae,family,17.95,13,267_Thermoanaerobaculaceae_family.fna
268,bacteria,Desulfobulbaceae,family,17.9,165,268_Desulfobulbaceae_family.fna
270,bacteria,Kofleriaceae,family,17.67,299,270_Kofleriaceae_family.fna
271,bacteria,Lentimicrobiaceae,family,17.41,122,271_Lentimicrobiaceae_family.fna
272,bacteria,Leptotrichiaceae,family,17.26,171,272_Leptotrichiaceae_family.fna
273,bacteria,Thermodesulfobacteriales,order,17.2,16,273_Thermodesulfobacteriales_order.fna
274,bacteria,Nannocystaceae,family,17.07,29,274_Nannocystaceae_family.fna
275,bacteria,Oligoflexales,order,17.07,12,275_Oligoflexales_order.fna
276,bacteria,Desulfovibrionaceae,family,17.07,487,276_Desulfovibrionaceae_family.fna
277,bacteria,Porphyromonadaceae,family,17.05,960,277_Porphyromonadaceae_family.fna
278,bacteria,Desulfosarcinaceae,family,16.73,478,278_Desulfosarcinaceae_family.fna
279,bacteria,Dehalococcoidia,class,16.69,17,279_Dehalococcoidia_class.fna
280,bacteria,Roseiflexaceae,family,16.58,22,280_Roseiflexaceae_family.fna
281,bacteria,Coleofasciculales,order,16.56,78,281_Coleofasciculales_order.fna
282,bacteria,Caryophanaceae,family,16.54,133,282_Caryophanaceae_family.fna
283,bacteria,Sporichthyaceae,family,16.48,138,283_Sporichthyaceae_family.fna
284,bacteria,Moraxellaceae,family,16.47,1061,284_Moraxellaceae_family.fna
285,bacteria,Microscillaceae,family,16.37,309,285_Microscillaceae_family.fna
287,bacteria,Halothiobacillaceae,family,16.28,27,287_Halothiobacillaceae_family.fna
288,archaea,Methanobacteriales,order,16.2,339,288_Methanobacteriales_order.fna
289,bacteria,Sandaracinaceae,family,16.2,23,289_Sandaracinaceae_family.fna
290,bacteria,Halomonadaceae,family,16.15,451,290_Halomonadaceae_family.fna
291,bacteria,Intrasporangiaceae,family,15.98,25,291_Intrasporangiaceae_family.fna
292,bacteria,Nitrospinota,phylum,15.95,107,292_Nitrospinota_phylum.fna
293,bacteria,Puniceicoccaceae,family,15.92,47,293_Puniceicoccaceae_family.fna
294,bacteria,Symphyonemataceae,family,15.9,11,294_Symphyonemataceae_family.fna
295,archaea,Methanosarcinales,order,15.89,208,295_Methanosarcinales_order.fna
296,bacteria,Nautiliales,order,15.89,47,296_Nautiliales_order.fna
297,bacteria,Oculatellaceae,family,15.87,9,297_Oculatellaceae_family.fna
298,bacteria,Synergistaceae,family,15.87,17,298_Synergistaceae_family.fna
299,bacteria,Streptococcaceae,family,15.78,1289,299_Streptococcaceae_family.fna
300,bacteria,Eggerthellaceae,family,15.66,114,300_Eggerthellaceae_family.fna
