DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	EuKCensus vs NCBI
COLOR	#555555

# census_size_count (EuKCensus) and ncbi_genome_count (NCBI) per genus
FIELD_COLORS	#FF8C00	#000000
Korotnevella_G	50	0
Labyrinthula_G	238	1
Labyrinthulomycetes.U.genus_ON	33	21
Lecanicillium_G	1334	12
Lecanoromycetes.U.genus_ON	343	531
Lecidea_G	9	2
Leidyana1_ON	29	1
Leidyana2_ON	258	1
Leohumicola_G	81	0
Leotiomycetes.U.genus_ON	1747	429
Leptodora_G	7	0
Leptomonas_G	327	3
Limnofilidae_X_ON	6	0
Limulus_G	122	2
Lipomyces_G	6	44
Loimia_G	6	0
Malassezia_G	11722	104
Mammalia.U.genus_ON	564	4692
Mammalia_X_ON	159	4692
Massaria_G	4	0
Massisteria_G	2	0
Mastigamoeba_G	10879	2
Mastigamoebida.U.genus_ON	2	20
Mastigella_G	67	0
Mattesia_G	3	0
Mayetiola_G	11	2
Metazoa.U.genus_ON	25091	24478
Metridia_G	70	0
Micractinium_G	10	4
Micronuclearia_G	28	0
Mitosporidium_G	13	2
Mollusca.U.genus_ON	2354	715
Monocystis_G	467	0
Monoraphidium_G	1	3
Monothalamids_X.U.genus_ON	2233	2
Mortierella_G	6	34
Mrakia_G	95	12
Mucoromycotina.U.genus_ON	363	284
Nannochloropsis_G	315	19
Nassellaria.U.genus_ON	918	0
Nebulomonas_G	3	0
Nematoda.U.genus_ON	5960	710
Nematostelium_G	8	0
Nematostella_G	36	4
Nemogullmia_G	66	0
Neobodo_G	74	0
Neobodonida.U.genus_ON	929	2
Neocallimastigaceae.U.genus_ON	69	50
Neocallimastix_G	4	40
Neocercomonas_G	116	0
Neofabraea_G	6	1
Neogregarinorida.U.genus_ON	9	1
Neovahlkampfia_G	780	1
Neurospora_G	243	197
Nibbleromonas_G	9	0
Notosolenus_G	15	0
Nucleariidae_Nuclearia_2_X_ON	30	0
Oligohymenophorea.U.genus_ON	1781	38
Opalozoa.U.genus_ON	1086	103
Opisthokonta.U.genus_ON	3638	48096
Oribatida_sO	24	73
Oryza_G	29	311
Ostreococcus_G	6432	30
Panellus_G	3	3
Paracalanus_G	324	0
Paracercomonas_G	4	0
Paradinium_G	43	0
Paramecium_G	547	22
Paramicrosporidium_G	8	1
Paramoeba_G	31	3
Parhypochthonius_G	6	0
Paulinella_G	24	2
Pelobiontida.U.genus_ON	3	1
Penicillium_G	2067	667
Pentapharsodinium_G	2001	0
Penthaleus_G	143	0
Peritrichia_2.U.genus_ON	322	0
Perkinsida_X.U.genus_ON	74	9
Peronosporales.U.genus_ON	45	318
Petalomonadida.U.genus_ON	1103	0
Petalomonas_G	26	0
Pezizomycotina.U.genus_ON	5074	12730
Phaeodactylum_G	37	3
Phaeosphaeria_G	1177	3
Phialophora_G	31	28
Philaenus_G	7	2
Phryganella_G	2	0
Phryganellina.U.genus_ON	135	0
Phyllopharyngea.U.genus_ON	686	0
Physcomitrella_G	50	0
Physochila_G	151	0
Phytomonas_G	7	5
Phytophthora_G	1107	269
Picomonas_G	366	0
Piromyces_G	6	7
Plagiostomum_G	25	0
Plasmodiidae.U.genus_ON	167	176
Plasmodium1_ON	404	52
Plasmodium2_ON	35	52
Plasmodium4_ON	6	52
Platyhelminthes.U.genus_ON	2920	154
Plectonchus_G	71	0
Podospora_G	12	38
Polychaos_G	43	0
Polychytrium_G	6	1
Polycystinea.U.genus_ON	4253	0
Populus_G	126	39
Pristionchus_G	366	21
Prodesmodora_G	10	0
Protacanthamoeba_G	3	0
Protaspa_G	4	0
Pseudovorticella_G	76	0
Psora_G	24	2
Ptolemeba_G	78	0
Pycnora_G	237	1
Pythium_G	870	71
Radiolaria.U.genus_ON	1717	0
Raphidocelis_G	2	1
Rattus_G	114	20
Rehmannia_G	265	1
Reophax_G	34	0
Rhizaria.U.genus_ON	3	72
