DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	OTU & Species Counts
COLOR	#555555

# Bar graph showing OTU counts and NCBI species counts per genus
FIELD_COLORS	#2196F3	#FF9800
Insecta.U.genus_G	2513	4858
Isaria_G	64	1
Kinetoplastea.U.genus_G	451	112
Korotnevella_G	34	0
Labyrinthula_G	62	1
Labyrinthulomycetes.U.genus_G	19	20
Lecanicillium_G	225	7
Lecanoromycetes.U.genus_G	116	387
Lecidea_G	3	2
Leidyana1_G	3	1
Leidyana2_G	73	1
Leohumicola_G	13	0
Leotiomycetes.U.genus_G	230	232
Leptodora_G	1	0
Leptomonas_G	53	2
Limnofilidae_X_G	4	0
Limulus_G	36	1
Lipomyces_G	3	19
Loimia_G	3	0
MAST-12C_G	15	0
MAST-3E_G	3	0
Malassezia_G	298	21
Mammalia.U.genus_G	122	1050
Mammalia_X_G	72	1050
Massaria_G	1	0
Massisteria_G	1	0
Mastigamoeba_G	1609	1
Mastigamoebida.U.genus_G	1	7
Mastigella_G	34	0
Mattesia_G	2	0
Maxillopoda.U.genus_G	155	0
Maxillopoda_X_G	63	0
Mayetiola_G	2	1
Metazoa.U.genus_G	4480	12832
Metridia_G	5	0
Micractinium_G	2	4
Micronuclearia_G	12	0
Mitosporidium_G	9	1
Mollusca.U.genus_G	353	492
Monocystis_G	131	0
Monoraphidium_G	1	3
Monothalamids_X.U.genus_G	507	2
Mortierella_G	6	20
Mrakia_G	11	8
Mucoromycotina.U.genus_G	57	114
Nannochloropsis_G	39	6
Nassellaria.U.genus_G	209	0
Nebulomonas_G	1	0
Nematoda.U.genus_G	1163	317
Nematostelium_G	6	0
Nematostella_G	14	1
Nemogullmia_G	18	0
Neobodo_G	43	0
Neobodonida.U.genus_G	221	1
Neocallimastigaceae.U.genus_G	6	9
Neocallimastix_G	3	3
Neocercomonas_G	69	0
Neofabraea_G	3	1
Neogregarinorida.U.genus_G	5	1
Neovahlkampfia_G	211	1
Neurospora_G	13	34
Nibbleromonas_G	2	0
Nolandellidae_X_G	142	0
Notosolenus_G	10	0
Nucleariidae_Nuclearia_2_X_G	11	0
Oligohymenophorea.U.genus_G	339	19
Opalozoa.U.genus_G	218	22
Opisthokonta.U.genus_G	687	19894
Oribatida_G	16	65
Oryza_G	1	23
Ostreococcus_G	293	12
Panellus_G	2	2
Paracalanus_G	15	0
Paracercomonas_G	4	0
Paradinium_G	27	0
Paramecium_G	65	10
Paramicrosporidium_G	2	1
Paramoeba_G	20	2
Parhypochthonius_G	4	0
Paulinella_G	17	1
Pelobiontida.U.genus_G	2	1
Penicillium_G	100	182
Pentapharsodinium_G	466	0
Penthaleus_G	5	0
Peritrichia_2.U.genus_G	53	0
Perkinsida_X.U.genus_G	29	4
Peronosporales.U.genus_G	4	106
Peronosporomycetes_X.U.genus_G	44	0
Petalomonadida.U.genus_G	422	0
Petalomonas_G	16	0
Pezizomycotina.U.genus_G	987	3616
Phaeodactylum_G	15	1
Phaeosphaeria_G	172	3
Phialophora_G	15	6
Philaenus_G	5	1
Phryganella_G	2	0
Phryganellina.U.genus_G	54	0
Phyllopharyngea.U.genus_G	186	0
Physcomitrella_G	28	0
Physochila_G	30	0
Phytomonas_G	3	4
Phytophthora_G	67	84
Picomonas_G	51	0
Piromyces_G	1	3
Plagiostomum_G	12	0
Plasmodiidae.U.genus_G	45	26
Plasmodium1_G	44	10
Plasmodium2_G	10	10
