name,novelty_factor
Eukaryota.U.division,0.385
Opisthokonta,1.224
Streptophyta,0.74
Stramenopiles,7.642
Alveolata,41.288
Chlorophyta,6.143
Discoba,41.636
Amoebozoa.U.division,66.889
Rhodophyta,0.038
Metamonada,22.92
Rhizaria,284.778
Evosea,69.457
Discosea,14.778
Tubulinea,1323.0
TSAR.U.division,inf
Archaeplastida.U.division,inf
Centroplasthelida,inf
Rigifilida,inf
Picozoa,inf
Hemimastigophora,inf
Nibbleridia,inf
Nebulidia,inf
