node_id	is_leaf
Chrysaora_G	yes
Chrysophyceae_C	no
Chydoridae_F	no
Chydorus_G	yes
Chytridiales_O	no
Chytridiomycetes_C	no
Chytridiomycota.U.genus_ON	yes
Chytridiomycota_P	no
Chytridiomycota_incertae_sedis_NR	no
Chytriomycetaceae_F	no
Cicadomorpha_iO	no
Ciliophora.U.genus_ON	yes
Ciliophora_P	no
Cintractiaceae_F	no
Cladocera_sO	no
Cladophialophora_G	yes
Clavicaudoides_G	yes
Clupeocephala_NR	no
Cnidaria_P	no
Coccidia_sC	no
Coccidioides_G	yes
Coccoidea_SF	no
Coccomyxa_G	yes
Coccomyxidae_F	no
Coelomomyces_G	yes
Coelomomycetaceae_F	no
Coemansia_G	yes
Colletotrichum_G	yes
Collodaria_O	no
Collophidiidae_F	no
Collophidium_G	yes
Colpodellida_CHR1_X_ON	yes
Colpodellida_Cl	no
Comesomatidae_F	no
Conidae_F	no
Coniophora_G	yes
Coniophoraceae_F	no
Coniophorineae_sO	no
Conoidasida_C	no
Conoidea_SF	no
Conus_G	yes
Copepoda_sC	no
Copromyxa_G	yes
Cordycipitaceae_F	no
Corynespora_G	yes
Corynesporascaceae_F	no
Coscinodiscophyceae_C	no
Craniata_S	no
Craniata_X.U.genus_ON	yes
Craspedida_O	no
Crassostrea_G	yes
Crustacea.U.genus_ON	yes
Crustacea_sP	no
Cryomonadida.U.genus_ON	yes
Cryomonadida_O	no
Cryothecomonas_G	yes
Cryptococcus_G	yes
Cryptodifflugia_G	yes
Cryptodifflugiidae_F	no
Cryptomycota_P	no
Cryptomycota_incertae_sedis_NR	no
Cryptosporidiidae.U.genus_ON	yes
Cryptosporidiidae_F	no
Cryptosporidium13_ON	yes
Cryptosporidium15_ON	yes
Cryptosporidium1_ON	yes
Cryptosporidium4_ON	yes
Cryptosporidium_G	no
Ctenopoda_iO	no
Culex_G	no
Culex_sG	yes
Culicidae_F	no
Culicinae_sF	no
Culicini_T	no
Culicoidea_SF	no
Culicomorpha_iO	no
Culiseta_G	yes
Culisetini_T	no
Cyanidiaceae_F	no
Cyanidiales_O	no
Cyanidioschyzon_G	yes
Cyclopidae_F	no
Cyclopoida_O	no
Cyclops_G	yes
Cyclotrichium_G	yes
Cypriniformes_O	no
Cypriniphysae_SO	no
Cyprinoidei_sO	no
Cystofilobasidiales_O	no
Dacrymycetaceae_F	no
Dacrymycetales_O	no
Dacrymycetes_C	no
Dactyloidae_F	no
Dactylopodida_O	no
Danio_G	yes
Danionidae_F	no
Danioninae_sF	no
Daphnia_G	yes
Daphniidae_F	no
Debaryomyces_G	yes
Debaryomycetaceae_F	no
Dermateaceae_F	no
Desmodorida_O	no
Desmodorina_sO	no
Deuterostomia_Cl	no
Diaphanosoma_G	yes
Diaptomidae_F	no
Dicondylia_Cl	no
Dicranophoridae_F	no
Difflugina_sO	no
Digenea_sC	no
Dikarya_sK	no
Dileptidae_F	no
Dileptidae_X_ON	yes
Dinoflagellata.U.genus_ON	yes
Dinophyceae.U.genus_ON	yes
Dinophyceae_C	no
Diplogasteroidea_SF	no
Diplogasteromorpha_iO	no
Diplomonadida_O	no
Diplophrys_G	yes
Diplostraca_O	no
Dipnotetrapodomorpha_Cl	no
Diptera_O	no
Diptilomiopidae_F	no
Diptilomiopus_G	yes
Discinellaceae_F	no
Discoba_Cl	no
Discosea_P	no
Discosea_X.U.genus_ON	yes
Distigma_G	yes
Distigmidae_F	no
Ditylenchus_G	yes
Dorylaimia_sC	no
Dorylaimida_O	no
Dothideomycetes.U.genus_ON	yes
Dothideomycetes_C	no
Dothideomycetes_X_ON	yes
Dothideomycetes_incertae_sedis_NR	no
Dothideomycetidae_sC	no
Drosophila_G	yes
Dunaliellaceae_F	no
Dusona_group_NR	no
Dysteriida_O	no
Dysteriidae_F	no
Ecdysozoa_Cl	no
Echinamoeba_G	yes
Echinamoebida_C	no
Echinamoebidae_F	no
Ectocarpaceae_F	no
Ectocarpales_O	no
Ectocarpus_G	yes
Edwardsiidae_F	no
Eimeria1_ON	yes
Eimeria_G	no
Eimeriidae_F	no
Eimeriorina_sO	no
Elardia.U.genus_ON	yes
Elardia_C	no
Elliptochloris_clade_Cl	no
Embryophyta_Cl	no
Encentrum_G	yes
Endogenida_O	no
Endomyxa_P	no
Endopterygota_C	no
Endostelium_G	yes
Enoplea_C	no
Enoplia_sC	no
Enoplida_O	no
Ensiculiferaceae_F	no
Entylomatales_O	no
Entylomatales_incertae_sedis_NR	no
Episquamata_Cl	no
Epistylidae_F	no
Eriococcidae_F	no
Eriophyidae_F	no
Eriophyoidea_SF	no
Euamoebida.U.genus_ON	yes
Euamoebida_O	no
Euarchontoglires_SO	no
Eubodonida_O	no
Eucoccidiorida_O	no
Eudiaptomus_G	yes
Euglenaceae_F	no
Euglenales_O	no
