file,domain,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
176_Bryobacterales_order.fna,bacteria,Bryobacterales,order,370,1427.7,1216,1548,28.84,1065,Pseudomonadati > Acidobacteriota > Terriglobia,3
177_Opitutaceae_family.fna,bacteria,Opitutaceae,family,70,1488.9,1249,1567,28.63,401,Verrucomicrobiota > Opitutia > Opitutales,5
178_Thermoplasmata_class.fna,archaea,Thermoplasmata,class,1024,1125.8,900,3317,28.47,1550,Archaea > Methanobacteriati > Thermoplasmatota,7
179_Beijerinckiaceae_family.fna,bacteria,Beijerinckiaceae,family,457,1407.2,1200,1587,28.45,329,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales,6
180_Alteromonadaceae_family.fna,bacteria,Alteromonadaceae,family,304,1440.2,1201,1625,28.26,419,Pseudomonadota > Gammaproteobacteria > Alteromonadales,9
181_Gemmatimonadaceae_family.fna,bacteria,Gemmatimonadaceae,family,161,1444.3,1236,1550,28.24,1494,Gemmatimonadota > Gemmatimonadia > Gemmatimonadales,4
182_Peptoniphilaceae_family.fna,bacteria,Peptoniphilaceae,family,380,1387.8,1208,1536,27.95,421,Bacillota > Tissierellia > Tissierellales,7
183_Chthoniobacterales_order.fna,bacteria,Chthoniobacterales,order,391,1462.9,1216,1615,27.63,965,PVC group > Verrucomicrobiota > Spartobacteria,3
184_Eubacteriaceae_family.fna,bacteria,Eubacteriaceae,family,96,1429.7,1225,1581,27.44,119,Bacillota > Clostridia > Eubacteriales,7
185_Nevskiaceae_family.fna,bacteria,Nevskiaceae,family,55,1449.0,1243,1525,27.43,93,Pseudomonadota > Gammaproteobacteria > Nevskiales,6
186_Streptosporangiales_order.fna,bacteria,Streptosporangiales,order,112,1456.5,1300,1633,27.41,76,Bacillati > Actinomycetota > Actinomycetes,9
187_Nitrososphaerota_phylum.fna,archaea,Nitrososphaerota,phylum,16,1102.6,910,1488,27.38,1438,root > Archaea > Thermoproteati,5
188_Nanobdellota_phylum.fna,archaea,Nanobdellota,phylum,8,1319.0,934,1500,27.12,3178,root > Archaea > Nanobdellati,4
189_Microcoleaceae_family.fna,bacteria,Microcoleaceae,family,65,1425.3,1226,2045,26.57,77,Cyanophyceae > Oscillatoriophycideae > Oscillatoriales,8
190_Aquificales_order.fna,bacteria,Aquificales,order,48,1455.7,1276,1587,26.43,110,Pseudomonadati > Aquificota > Aquificia,9
191_Anaerovoracaceae_family.fna,bacteria,Anaerovoracaceae,family,227,1428.6,1205,1637,26.04,762,Bacillota > Clostridia > Peptostreptococcales,5
192_Phycisphaerales_order.fna,bacteria,Phycisphaerales,order,1393,1436.0,1200,1689,25.91,1641,PVC group > Planctomycetota > Phycisphaerae,4
193_Thermaceae_family.fna,bacteria,Thermaceae,family,105,1442.3,1234,2826,25.84,140,Deinococcota > Deinococci > Thermales,5
194_Candidatus_Melainabacteria_phylum.fna,unknown,Candidatus_Melainabacteria,phylum,48,1394.8,1206,1500,0,0,N/A,0
195_Alcaligenaceae_family.fna,bacteria,Alcaligenaceae,family,173,1441.1,1202,1840,25.56,175,Pseudomonadota > Betaproteobacteria > Burkholderiales,9
196_Vicinamibacteraceae_family.fna,bacteria,Vicinamibacteraceae,family,1129,1473.5,1210,1583,25.54,549,Acidobacteriota > Vicinamibacteria > Vicinamibacterales,3
197_Cellvibrionaceae_family.fna,bacteria,Cellvibrionaceae,family,155,1459.9,1200,1540,25.51,132,Pseudomonadota > Gammaproteobacteria > Cellvibrionales,11
198_Thiotrichaceae_family.fna,bacteria,Thiotrichaceae,family,208,1477.3,1219,2930,25.4,448,Pseudomonadota > Gammaproteobacteria > Thiotrichales,6
199_Natranaerobiaceae_family.fna,bacteria,Natranaerobiaceae,family,15,1481.3,1225,1535,25.26,28,Bacillota > Clostridia > Natranaerobiales,5
200_Syntrophomonadaceae_family.fna,bacteria,Syntrophomonadaceae,family,124,1465.0,1287,1712,24.99,266,Bacillota > Clostridia > Eubacteriales,5
201_Ktedonobacterales_order.fna,bacteria,Ktedonobacterales,order,344,1402.6,1200,1520,24.81,1075,Bacillati > Chloroflexota > Ktedonobacteria,4
202_Nitrospirota_phylum.fna,bacteria,Nitrospirota,phylum,545,1460.0,1208,1695,24.72,1081,root > Bacteria > Pseudomonadati,4
203_Syntrophobacteraceae_family.fna,bacteria,Syntrophobacteraceae,family,140,1469.7,1222,1645,24.68,184,Thermodesulfobacteriota > Syntrophobacteria > Syntrophobacterales,4
204_Dysgonomonadaceae_family.fna,bacteria,Dysgonomonadaceae,family,273,1433.8,1209,1542,24.5,573,Bacteroidota > Bacteroidia > Bacteroidales,5
205_Nodosilineales_order.fna,bacteria,Nodosilineales,order,33,1431.6,1292,2366,24.09,38,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,5
206_Planctomycetaceae_family.fna,bacteria,Planctomycetaceae,family,242,1414.8,1219,1543,24.03,209,Planctomycetota > Planctomycetia > Planctomycetales,5
207_Propionibacteriaceae_family.fna,bacteria,Propionibacteriaceae,family,410,1376.2,1238,1548,24.0,474,Actinomycetota > Actinomycetes > Propionibacteriales,6
208_Pleurocapsales_order.fna,bacteria,Pleurocapsales,order,39,1421.4,1215,1493,23.89,70,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,7
209_Micromonosporaceae_family.fna,bacteria,Micromonosporaceae,family,51,1431.6,1220,1529,23.81,98,Actinomycetota > Actinomycetes > Micromonosporales,9
210_Peptostreptococcaceae_family.fna,bacteria,Peptostreptococcaceae,family,148,1404.5,1217,2891,23.73,187,Bacillota > Clostridia > Peptostreptococcales,8
211_Cytophagaceae_family.fna,bacteria,Cytophagaceae,family,1591,1435.5,1200,1772,23.28,255,Bacteroidota > Cytophagia > Cytophagales,6
212_Selenomonadaceae_family.fna,bacteria,Selenomonadaceae,family,219,1464.0,1210,1664,23.26,286,Bacillota > Negativicutes > Selenomonadales,6
214_Halobacteroidaceae_family.fna,bacteria,Halobacteroidaceae,family,28,1474.5,1395,1551,23.04,80,Bacillota > Clostridia > Halanaerobiales,9
215_Veillonellaceae_family.fna,bacteria,Veillonellaceae,family,965,1456.4,1210,1781,22.71,562,Bacillota > Negativicutes > Veillonellales,5
216_Chloroflexineae_suborder.fna,bacteria,Chloroflexineae,suborder,57,1430.3,1233,1485,22.27,177,Chloroflexota > Chloroflexia > Chloroflexales,4
217_Thermotogota_phylum.fna,bacteria,Thermotogota,phylum,73,1414.7,1222,1612,22.16,77,root > Bacteria > Thermotogati,7
218_Nocardioidaceae_family.fna,bacteria,Nocardioidaceae,family,368,1440.2,1208,1581,22.06,602,Actinomycetota > Actinomycetes > Propionibacteriales,7
219_Acidaminococcaceae_family.fna,bacteria,Acidaminococcaceae,family,190,1439.3,1213,1651,22.05,296,Bacillota > Negativicutes > Acidaminococcales,5
220_Limnochordia_class.fna,bacteria,Limnochordia,class,60,1438.8,1257,1511,22.04,298,Bacteria > Bacillati > Bacillota,4
221_Tepidisphaerales_order.fna,bacteria,Tepidisphaerales,order,211,1405.5,1201,1524,21.91,922,PVC group > Planctomycetota > Phycisphaerae,3
