file,domain,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
059_Roseobacteraceae_family.fna,bacteria,Roseobacteraceae,family,399,1395.3,1202,1840,76.2,499,Pseudomonadota > Alphaproteobacteria > Rhodobacterales,27
060_Thermoprotei_class.fna,archaea,Thermoprotei,class,153,1234.1,900,2211,74.71,373,Archaea > Thermoproteati > Thermoproteota,21
061_Bacillaceae_family.fna,bacteria,Bacillaceae,family,464,1449.9,1201,2314,72.95,455,Bacillota > Bacilli > Bacillales,23
062_Polyangiales_order.fna,bacteria,Polyangiales,order,134,1478.7,1236,1873,72.93,1044,Pseudomonadati > Myxococcota > Polyangia,12
063_Bdellovibrionota_phylum.fna,bacteria,Bdellovibrionota,phylum,1076,1437.9,1200,1581,71.64,2603,root > Bacteria > Pseudomonadati,12
064_Blastocatellales_order.fna,bacteria,Blastocatellales,order,268,1447.9,1200,1552,71.6,1086,Pseudomonadati > Acidobacteriota > Blastocatellia,8
065_Tissierellales_order.fna,bacteria,Tissierellales,order,2138,1421.1,1204,2891,70.85,686,Bacillati > Bacillota > Tissierellia,18
066_Opitutia_class.fna,bacteria,Opitutia,class,186,1455.8,1206,1573,70.05,842,Pseudomonadati > PVC group > Verrucomicrobiota,11
067_Anaerolineaceae_family.fna,bacteria,Anaerolineaceae,family,2764,1401.1,1200,1588,70.04,2464,Chloroflexota > Anaerolineae > Anaerolineales,10
068_Chloroflexia_class.fna,bacteria,Chloroflexia,class,102,1417.8,1212,1659,69.63,787,Bacteria > Bacillati > Chloroflexota,13
069_Enterobacterales_order.fna,bacteria,Enterobacterales,order,279,1451.0,1200,2439,67.99,293,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,22
070_Verrucomicrobiia_class.fna,bacteria,Verrucomicrobiia,class,393,1415.0,1204,1883,67.7,2817,Pseudomonadati > PVC group > Verrucomicrobiota,14
071_Alteromonadales_order.fna,bacteria,Alteromonadales,order,628,1453.6,1201,1625,65.44,791,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,19
072_Spirochaetales_order.fna,bacteria,Spirochaetales,order,1823,1430.5,1201,3062,65.34,3004,Pseudomonadati > Spirochaetota > Spirochaetia,10
073_Acetobacterales_order.fna,bacteria,Acetobacterales,order,241,1405.6,1202,1592,64.48,857,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,17
074_Methylococcales_order.fna,bacteria,Methylococcales,order,282,1422.1,1200,1553,63.99,278,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,17
075_Clostridiaceae_family.fna,bacteria,Clostridiaceae,family,1201,1425.1,1200,2657,62.78,1401,Bacillota > Clostridia > Eubacteriales,15
076_Campylobacterales_order.fna,bacteria,Campylobacterales,order,1075,1435.9,1201,1549,61.58,1767,Pseudomonadati > Campylobacterota > Epsilonproteobacteria,12
077_Mycoplasmatota_phylum.fna,bacteria,Mycoplasmatota,phylum,674,1479.3,1200,3023,61.11,1270,root > Bacteria > Bacillati,11
078_Methanomicrobia_class.fna,archaea,Methanomicrobia,class,520,1149.0,900,2174,60.72,839,Methanobacteriati > Methanobacteriota > Stenosarchaea group,17
079_Rhodocyclales_order.fna,bacteria,Rhodocyclales,order,382,1462.8,1203,2092,60.68,739,Pseudomonadati > Pseudomonadota > Betaproteobacteria,13
080_Desulfobacteraceae_family.fna,bacteria,Desulfobacteraceae,family,3706,1467.5,1200,1748,60.41,312,Thermodesulfobacteriota > Desulfobacteria > Desulfobacterales,10
081_Desulfuromonadia_class.fna,bacteria,Desulfuromonadia,class,410,1467.5,1213,1668,59.49,958,Bacteria > Pseudomonadati > Thermodesulfobacteriota,14
082_Thermoleophilia_class.fna,bacteria,Thermoleophilia,class,708,1440.4,1205,1619,59.45,1705,Bacteria > Bacillati > Actinomycetota,9
083_Lysobacteraceae_family.fna,bacteria,Lysobacteraceae,family,412,1464.3,1204,1729,59.16,615,Pseudomonadota > Gammaproteobacteria > Lysobacterales,12
084_Leptolyngbyales_order.fna,bacteria,Leptolyngbyales,order,323,1421.9,1203,2487,58.99,375,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,12
085_Erysipelotrichales_order.fna,bacteria,Erysipelotrichales,order,586,1387.4,1207,1659,58.94,1056,Bacillati > Bacillota > Erysipelotrichia,12
086_Selenomonadales_order.fna,bacteria,Selenomonadales,order,398,1475.4,1210,1781,58.55,553,Bacillati > Bacillota > Negativicutes,15
087_Chroococcales_order.fna,bacteria,Chroococcales,order,54,1441.3,1210,1886,58.34,64,Cyanobacteriota > Cyanophyceae > Oscillatoriophycideae,15
088_Mollicutes_class.fna,bacteria,Mollicutes,class,674,1479.3,1200,3023,58.23,1248,Bacteria > Bacillati > Mycoplasmatota,10
089_Comamonadaceae_family.fna,bacteria,Comamonadaceae,family,826,1428.6,1200,1816,58.04,1034,Pseudomonadota > Betaproteobacteria > Burkholderiales,17
090_Phycisphaerae_class.fna,bacteria,Phycisphaerae,class,1393,1436.0,1200,1689,57.27,4277,Pseudomonadati > PVC group > Planctomycetota,8
091_Saprospirales_order.fna,bacteria,Saprospirales,order,697,1416.2,1200,1581,57.01,1470,Bacteroidota/Chlorobiota group > Bacteroidota > Saprospiria,8
092_Synergistales_order.fna,bacteria,Synergistales,order,194,1428.4,1216,1538,56.98,634,Thermotogati > Synergistota > Synergistia,13
093_Verrucomicrobiales_order.fna,bacteria,Verrucomicrobiales,order,391,1414.6,1204,1883,56.53,891,PVC group > Verrucomicrobiota > Verrucomicrobiia,12
094_Chromatiaceae_family.fna,bacteria,Chromatiaceae,family,146,1426.4,1220,1542,52.2,188,Pseudomonadota > Gammaproteobacteria > Chromatiales,15
095_Methylococcaceae_family.fna,bacteria,Methylococcaceae,family,248,1419.3,1200,1553,51.8,199,Pseudomonadota > Gammaproteobacteria > Methylococcales,14
096_Pirellulales_order.fna,bacteria,Pirellulales,order,1296,1437.0,1200,1600,51.62,2917,PVC group > Planctomycetota > Planctomycetia,7
097_Oceanospirillaceae_family.fna,bacteria,Oceanospirillaceae,family,107,1450.8,1224,1619,50.92,208,Pseudomonadota > Gammaproteobacteria > Oceanospirillales,13
098_Gemmatimonadota_phylum.fna,bacteria,Gemmatimonadota,phylum,168,1445.5,1236,1550,50.15,2554,Bacteria > Pseudomonadati > FCB group,7
099_Blastocatellaceae_family.fna,bacteria,Blastocatellaceae,family,268,1447.9,1200,1552,50.01,430,Acidobacteriota > Blastocatellia > Blastocatellales,5
100_Desulfobulbales_order.fna,bacteria,Desulfobulbales,order,625,1462.3,1200,1600,49.93,1021,Pseudomonadati > Thermodesulfobacteriota > Desulfobulbia,10
101_Terriglobia_class.fna,bacteria,Terriglobia,class,525,1433.6,1215,1563,49.69,1370,Bacteria > Pseudomonadati > Acidobacteriota,9
102_Sphingomonadales_order.fna,bacteria,Sphingomonadales,order,729,1412.5,1200,2952,49.52,984,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,13
103_Armatimonadota_phylum.fna,bacteria,Armatimonadota,phylum,32,1423.6,1221,1510,49.45,1473,root > Bacteria > Bacillati,8
104_Chloroflexales_order.fna,bacteria,Chloroflexales,order,84,1423.6,1214,1659,48.61,530,Bacillati > Chloroflexota > Chloroflexia,8
105_Oscillatoriales_order.fna,bacteria,Oscillatoriales,order,170,1474.4,1210,2270,48.52,162,Cyanobacteriota > Cyanophyceae > Oscillatoriophycideae,13
106_Erysipelotrichaceae_family.fna,bacteria,Erysipelotrichaceae,family,448,1394.1,1213,1557,48.32,871,Bacillota > Erysipelotrichia > Erysipelotrichales,10
107_Rhodospirillaceae_family.fna,bacteria,Rhodospirillaceae,family,93,1411.8,1208,1513,46.85,203,Pseudomonadota > Alphaproteobacteria > Rhodospirillales,12
108_Thiotrichales_order.fna,bacteria,Thiotrichales,order,363,1473.3,1219,2930,46.41,546,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,14
109_Desulfovibrionales_order.fna,bacteria,Desulfovibrionales,order,489,1454.7,1201,1604,46.4,667,Pseudomonadati > Thermodesulfobacteriota > Desulfovibrionia,13
110_Vicinamibacteria_class.fna,bacteria,Vicinamibacteria,class,1129,1473.5,1210,1583,46.37,1809,Bacteria > Pseudomonadati > Acidobacteriota,5
111_Propionibacteriales_order.fna,bacteria,Propionibacteriales,order,776,1406.2,1208,1581,46.05,1076,Bacillati > Actinomycetota > Actinomycetes,13
112_Sphingobacteriales_order.fna,bacteria,Sphingobacteriales,order,498,1432.9,1203,1547,45.58,1909,Bacteroidota/Chlorobiota group > Bacteroidota > Sphingobacteriia,12
113_Prolixibacteraceae_family.fna,bacteria,Prolixibacteraceae,family,453,1435.0,1202,1530,45.56,738,Bacteroidota > Bacteroidia > Marinilabiliales,8
114_Rikenellaceae_family.fna,bacteria,Rikenellaceae,family,1581,1423.9,1200,1566,45.46,1913,Bacteroidota > Bacteroidia > Bacteroidales,7
115_Verrucomicrobiaceae_family.fna,bacteria,Verrucomicrobiaceae,family,190,1460.8,1204,1883,44.54,623,Verrucomicrobiota > Verrucomicrobiia > Verrucomicrobiales,9
116_Leptolyngbyaceae_family.fna,bacteria,Leptolyngbyaceae,family,317,1423.6,1203,2487,43.59,362,Cyanobacteriota > Cyanophyceae > Leptolyngbyales,10
117_Pirellulaceae_family.fna,bacteria,Pirellulaceae,family,1296,1437.0,1200,1600,43.26,2874,Planctomycetota > Planctomycetia > Pirellulales,5
118_Acetobacteraceae_family.fna,bacteria,Acetobacteraceae,family,71,1405.1,1237,1518,41.33,490,Pseudomonadota > Alphaproteobacteria > Acetobacterales,10
119_Peptococcaceae_family.fna,bacteria,Peptococcaceae,family,307,1453.2,1200,1732,40.83,522,Bacillota > Clostridia > Eubacteriales,7
120_Opitutales_order.fna,bacteria,Opitutales,order,80,1482.7,1249,1567,40.7,427,PVC group > Verrucomicrobiota > Opitutia,6
121_Hyphomicrobiaceae_family.fna,bacteria,Hyphomicrobiaceae,family,260,1398.0,1200,1825,39.52,424,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales,6
122_Weeksellaceae_family.fna,bacteria,Weeksellaceae,family,392,1408.1,1206,1603,39.46,196,Bacteroidota > Flavobacteriia > Flavobacteriales,9
123_Pseudonocardiaceae_family.fna,bacteria,Pseudonocardiaceae,family,421,1438.4,1202,1871,38.96,326,Actinomycetota > Actinomycetes > Pseudonocardiales,9
124_Fusobacteriales_order.fna,bacteria,Fusobacteriales,order,429,1394.5,1202,1900,38.84,720,Fusobacteriati > Fusobacteriota > Fusobacteriia,10
125_Haloferacaceae_family.fna,archaea,Haloferacaceae,family,298,1267.4,900,1637,38.62,342,Stenosarchaea group > Halobacteria > Halobacteriales,13
126_Thermoanaerobacterales_order.fna,bacteria,Thermoanaerobacterales,order,248,1482.5,1201,1800,38.55,163,Bacillati > Bacillota > Clostridia,10
127_Neisseriales_order.fna,bacteria,Neisseriales,order,447,1418.8,1201,2633,38.3,402,Pseudomonadati > Pseudomonadota > Betaproteobacteria,14
128_Deinococcota_phylum.fna,bacteria,Deinococcota,phylum,339,1434.0,1209,2826,38.19,500,root > Bacteria > Thermotogati,7
129_Oligoflexia_class.fna,bacteria,Oligoflexia,class,34,1437.0,1250,1541,38.02,1157,Bacteria > Pseudomonadati > Bdellovibrionota,7
130_Pasteurellaceae_family.fna,bacteria,Pasteurellaceae,family,566,1418.4,1226,1777,37.93,548,Pseudomonadota > Gammaproteobacteria > Pasteurellales,13
131_Acidimicrobiia_class.fna,bacteria,Acidimicrobiia,class,310,1426.4,1201,1551,37.92,2024,Bacteria > Bacillati > Actinomycetota,7
132_Vicinamibacterales_order.fna,bacteria,Vicinamibacterales,order,1129,1473.5,1210,1583,37.65,1462,Pseudomonadati > Acidobacteriota > Vicinamibacteria,4
133_Desulfurococcales_order.fna,archaea,Desulfurococcales,order,57,1167.6,900,1630,37.58,147,Thermoproteati > Thermoproteota > Thermoprotei,9
134_Halanaerobiales_order.fna,bacteria,Halanaerobiales,order,104,1483.6,1346,1656,37.38,197,Bacillati > Bacillota > Clostridia,12
135_Cyclobacteriaceae_family.fna,bacteria,Cyclobacteriaceae,family,84,1450.3,1212,1543,37.02,528,Bacteroidota > Cytophagia > Cytophagales,12
136_Solirubrobacterales_order.fna,bacteria,Solirubrobacterales,order,218,1466.9,1207,1573,36.33,660,Bacillati > Actinomycetota > Thermoleophilia,6
