LABELS
SEPARATOR TAB
DATA
Bacteria_D	Bacteria (D)
Arenimonas_G	Arenimonas (G) NF=10.6
Aquimonas_G	Aquimonas (G) NF=5.0
Chiayiivirga_G	Chiayiivirga (G) NF=1.3
Silanimonas_G	Silanimonas (G) NF=9.5
Vulcaniibacterium_G	Vulcaniibacterium (G) NF=2.7
Rehaibacterium_G	Rehaibacterium (G) NF=5.0
Coralloluteibacterium_G	Coralloluteibacterium (G) NF=0.5
Rhodanobacteraceae_F	Rhodanobacteraceae (F) NF=2.0
Rhodanobacter_G	Rhodanobacter (G) NF=1.5
Dokdonella_G	Dokdonella (G) NF=9.1
Dyella_G	Dyella (G) NF=0.6
Luteibacter_G	Luteibacter (G) NF=1.1
Metallibacterium_G	Metallibacterium (G) NF=3.0
Rudaea_G	Rudaea (G) NF=1.2
Frateuria_G	Frateuria (G) NF=0.7
Tahibacter_G	Tahibacter (G) NF=2.0
Oleiagrimonas_G	Oleiagrimonas (G) NF=0.8
Mizugakiibacter_G	Mizugakiibacter (G) NF=2.0
Fulvimonas_G	Fulvimonas (G) NF=1.0
Pseudofulvimonas_G	Pseudofulvimonas (G) NF=20.0
Ahniella_G	Ahniella (G) NF=30.5
Marinicellaceae_F	Marinicellaceae (F)
Marinicella_G	Marinicella (G) NF=3.0
Pasteurellales_O	Pasteurellales (O)
Pasteurellaceae_F	Pasteurellaceae (F) NF=3.1
Mannheimia_G	Mannheimia (G) NF=0.9
Haemophilus_G	Haemophilus (G) NF=8.8
Pasteurella_G	Pasteurella (G) NF=1.6
Glaesserella_G	Glaesserella (G) NF=0.8
Aggregatibacter_G	Aggregatibacter (G) NF=5.0
Actinobacillus_G	Actinobacillus (G) NF=3.4
Avibacterium_G	Avibacterium (G) NF=0.4
Gallibacterium_G	Gallibacterium (G) NF=0.9
Histophilus_G	Histophilus (G) NF=3.0
Rodentibacter_G	Rodentibacter (G) NF=0.6
Mesocricetibacter_G	Mesocricetibacter (G) NF=0.3
Ursidibacter_G	Ursidibacter (G) NF=1.5
Lonepinella_G	Lonepinella (G) NF=0.4
Testudinibacter_G	Testudinibacter (G) NF=0.5
Bibersteinia_G	Bibersteinia (G) NF=3.0
Muribacter_G	Muribacter (G) NF=2.0
Basfia_G	Basfia (G) NF=0.5
Otariodibacter_G	Otariodibacter (G) NF=1.5
Necropsobacter_G	Necropsobacter (G) NF=0.5
Nicoletella_G	Nicoletella (G) NF=1.0
Phocoenobacter_G	Phocoenobacter (G) NF=18.0
Vespertiliibacter_G	Vespertiliibacter (G) NF=1.0
Volucribacter_G	Volucribacter (G) NF=0.5
Frederiksenia_G	Frederiksenia (G) NF=2.0
Bisgaardia_G	Bisgaardia (G) NF=3.0
Chelonobacter_G	Chelonobacter (G) NF=3.0
Seminibacterium_G	Seminibacterium (G) NF=1.0
Caviibacterium_G	Caviibacterium (G) NF=3.0
Conservatibacter_G	Conservatibacter (G) NF=1.0
Legionellales_O	Legionellales (O)
Legionellaceae_F	Legionellaceae (F) NF=4.6
Legionella_G	Legionella (G) NF=4.4
Coxiellaceae_F	Coxiellaceae (F) NF=17.3
