LABELS
SEPARATOR TAB
DATA
Bacteria_D	Bacteria (D)
Betaproteobacteria_C	Betaproteobacteria (C)
Neisseriales_O	Neisseriales (O)
Neisseriaceae_F	Neisseriaceae (F) NF=2.1
Neisseria_G	Neisseria (G) NF=2.0
Snodgrassella_G	Snodgrassella (G) NF=0.1
Simonsiella_G	Simonsiella (G) NF=2.5
Eikenella_G	Eikenella (G) NF=0.5
Vitreoscilla_G	Vitreoscilla (G) NF=1.0
Conchiformibius_G	Conchiformibius (G) NF=3.7
Crenobacter_G	Crenobacter (G) NF=1.6
Alysiella_G	Alysiella (G) NF=3.0
Uruburuella_G	Uruburuella (G) NF=0.5
Prolinoborus_G	Prolinoborus (G) NF=2.0
Stenoxybacter_G	Stenoxybacter (G) NF=3.0
Chromobacteriaceae_F	Chromobacteriaceae (F) NF=1.6
Chromobacterium_G	Chromobacterium (G) NF=0.7
Vogesella_G	Vogesella (G) NF=1.1
Aquitalea_G	Aquitalea (G) NF=0.4
Paludibacterium_G	Paludibacterium (G) NF=2.4
Pseudogulbenkiania_G	Pseudogulbenkiania (G) NF=0.8
Gulbenkiania_G	Gulbenkiania (G) NF=0.5
Aquaspirillaceae_F	Aquaspirillaceae (F)
Laribacter_G	Laribacter (G) NF=1.0
Rivihabitans_G	Rivihabitans (G) NF=4.0
Aquaspirillum_G	Aquaspirillum (G) NF=3.2
Microvirgula_G	Microvirgula (G) NF=0.5
Chitinibacteraceae_F	Chitinibacteraceae (F)
Chitinimonas_G	Chitinimonas (G) NF=2.4
Iodobacter_G	Iodobacter (G) NF=0.1
Deefgea_G	Deefgea (G) NF=0.9
Chitinibacter_G	Chitinibacter (G) NF=0.4
Silvimonas_G	Silvimonas (G) NF=0.3
Chitiniphilus_G	Chitiniphilus (G) NF=0.3
Jeongeupia_G	Jeongeupia (G) NF=0.2
Chitinilyticum_G	Chitinilyticum (G) NF=0.7
Formivibrio_G	Formivibrio (G) NF=3.5
Andreprevotia_G	Andreprevotia (G) NF=0.7
Chitinolyticbacter_G	Chitinolyticbacter (G) NF=0.7
Leeiaceae_F	Leeiaceae (F)
Leeia_G	Leeia (G) NF=3.2
Burkholderiales_O	Burkholderiales (O)
Burkholderiaceae_F	Burkholderiaceae (F) NF=0.9
Burkholderia_G	Burkholderia (G) NF=0.6
Ralstonia_G	Ralstonia (G) NF=1.5
Paraburkholderia_G	Paraburkholderia (G) NF=0.3
Polynucleobacter_G	Polynucleobacter (G) NF=0.7
Cupriavidus_G	Cupriavidus (G) NF=0.7
Caballeronia_G	Caballeronia (G) NF=0.1
Pandoraea_G	Pandoraea (G) NF=0.3
Limnobacter_G	Limnobacter (G) NF=5.4
Lautropia_G	Lautropia (G) NF=15.1
Mycoavidus_G	Mycoavidus (G) NF=0.2
Hydromonas_G	Hydromonas (G) NF=1.0
Paucimonas_G	Paucimonas (G) NF=1.5
Robbsia_G	Robbsia (G) NF=1.5
Comamonadaceae_F	Comamonadaceae (F) NF=1.7
Rhodoferax_G	Rhodoferax (G) NF=2.7
Comamonas_G	Comamonas (G) NF=2.1
Polaromonas_G	Polaromonas (G) NF=1.4
Variovorax_G	Variovorax (G) NF=0.4
Acidovorax_G	Acidovorax (G) NF=1.8
Limnohabitans_G	Limnohabitans (G) NF=1.9
Hydrogenophaga_G	Hydrogenophaga (G) NF=1.8
Delftia_G	Delftia (G) NF=1.1
Ramlibacter_G	Ramlibacter (G) NF=2.2
Ottowia_G	Ottowia (G) NF=2.9
Giesbergeria_G	Giesbergeria (G) NF=0.8
Brachymonas_G	Brachymonas (G) NF=9.7
Curvibacter_G	Curvibacter (G) NF=1.6
Hylemonella_G	Hylemonella (G) NF=0.6
Diaphorobacter_G	Diaphorobacter (G) NF=3.6
Alicycliphilus_G	Alicycliphilus (G) NF=1.7
Verminephrobacter_G	Verminephrobacter (G) NF=1.2
Simplicispira_G	Simplicispira (G) NF=2.0
Pseudacidovorax_G	Pseudacidovorax (G) NF=0.5
Xenophilus_G	Xenophilus (G) NF=0.4
Macromonas_G	Macromonas (G) NF=0.5
Pseudorhodoferax_G	Pseudorhodoferax (G) NF=0.9
Malikia_G	Malikia (G) NF=1.3
Caenimonas_G	Caenimonas (G) NF=2.7
Melaminivora_G	Melaminivora (G) NF=0.8
Extensimonas_G	Extensimonas (G) NF=1.0
Lampropedia_G	Lampropedia (G) NF=1.0
Tibeticola_G	Tibeticola (G) NF=1.0
Corticibacter_G	Corticibacter (G) NF=4.0
Alcaligenaceae_F	Alcaligenaceae (F) NF=1.3
Bordetella_G	Bordetella (G) NF=0.8
Achromobacter_G	Achromobacter (G) NF=1.1
Alcaligenes_G	Alcaligenes (G) NF=3.7
Castellaniella_G	Castellaniella (G) NF=1.5
Pelistega_G	Pelistega (G) NF=0.4
Taylorella_G	Taylorella (G) NF=1.5
Pusillimonas_G	Pusillimonas (G) NF=0.8
Oligella_G	Oligella (G) NF=0.7
Pigmentiphaga_G	Pigmentiphaga (G) NF=0.3
Paenalcaligenes_G	Paenalcaligenes (G) NF=0.9
Advenella_G	Advenella (G) NF=0.7
Kerstersia_G	Kerstersia (G) NF=4.5
Candidimonas_G	Candidimonas (G) NF=1.4
Orrella_G	Orrella (G) NF=0.1
Eoetvoesiella_G	Eoetvoesiella (G) NF=1.5
Verticiella_G	Verticiella (G) NF=4.0
Paralcaligenes_G	Paralcaligenes (G) NF=0.3
Derxia_G	Derxia (G) NF=1.0
Parapusillimonas_G	Parapusillimonas (G) NF=5.0
Basilea_G	Basilea (G) NF=1.0
Brackiella_G	Brackiella (G) NF=1.0
Parvibium_G	Parvibium (G) NF=8.0
Sutterellaceae_F	Sutterellaceae (F) NF=3.8
Sutterella_G	Sutterella (G) NF=2.2
Parasutterella_G	Parasutterella (G) NF=9.8
Oxalobacteraceae_F	Oxalobacteraceae (F) NF=1.5
Telluria_group_N	Telluria group (N)
Massilia_G	Massilia (G) NF=1.8
Duganella_G	Duganella (G) NF=0.5
Telluria_G	Telluria (G) NF=0.2
Rugamonas_G	Rugamonas (G) NF=0.1
Janthinobacterium_G	Janthinobacterium (G) NF=0.7
Herbaspirillum_G	Herbaspirillum (G) NF=0.8
Oxalobacter_G	Oxalobacter (G) NF=1.8
Undibacterium_G	Undibacterium (G) NF=1.4
Noviherbaspirillum_G	Noviherbaspirillum (G) NF=4.0
Herminiimonas_G	Herminiimonas (G) NF=3.4
Collimonas_G	Collimonas (G) NF=0.3
Glaciimonas_G	Glaciimonas (G) NF=0.2
Oxalicibacterium_G	Oxalicibacterium (G) NF=1.0
Actimicrobium_G	Actimicrobium (G) NF=0.5
Sphaerotilaceae_F	Sphaerotilaceae (F) NF=0.6
Rubrivivax_G	Rubrivivax (G) NF=0.5
Roseateles_G	Roseateles (G) NF=0.1
Caldimonas_G	Caldimonas (G) NF=0.4
Piscinibacter_G	Piscinibacter (G) NF=0.7
Ideonella_G	Ideonella (G) NF=1.3
Methylibium_G	Methylibium (G) NF=1.9
Sphaerotilus_G	Sphaerotilus (G) NF=2.7
Inhella_G	Inhella (G) NF=0.4
Aquincola_G	Aquincola (G) NF=0.8
Azohydromonas_G	Azohydromonas (G) NF=0.5
Burkholderiales_genera_incertae_sedis_N	Burkholderiales genera incertae sedis (N)
Thiomonas_G	Thiomonas (G) NF=0.8
Aquabacterium_G	Aquabacterium (G) NF=5.3
Rhizobacter_G	Rhizobacter (G) NF=4.2
Tepidimonas_G	Tepidimonas (G) NF=1.8
Rivibacter_G	Rivibacter (G) NF=0.7
Piscinibacterium_G	Piscinibacterium (G) NF=1.0
Tepidicella_G	Tepidicella (G) NF=0.5
Thiobacteraceae_F	Thiobacteraceae (F)
Thiobacter_G	Thiobacter (G) NF=5.0
Nitrosomonadales_O	Nitrosomonadales (O)
Methylophilaceae_F	Methylophilaceae (F) NF=3.3
Methylotenera_G	Methylotenera (G) NF=5.4
Methylophilus_G	Methylophilus (G) NF=1.1
Methylobacillus_G	Methylobacillus (G) NF=1.1
Methylovorus_G	Methylovorus (G) NF=0.6
Nitrosomonadaceae_F	Nitrosomonadaceae (F) NF=11.3
Nitrosomonas_G	Nitrosomonas (G) NF=2.5
Nitrosospira_G	Nitrosospira (G) NF=0.6
Nitrosovibrio_G	Nitrosovibrio (G) NF=0.5
Gallionellaceae_F	Gallionellaceae (F) NF=5.4
Gallionella_G	Gallionella (G) NF=10.6
Sideroxydans_G	Sideroxydans (G) NF=16.0
Ferriphaselus_G	Ferriphaselus (G) NF=3.0
Thiobacillaceae_F	Thiobacillaceae (F) NF=4.4
Thiobacillus_G	Thiobacillus (G) NF=5.0
Sulfuritortus_G	Sulfuritortus (G) NF=1.5
Sterolibacteriaceae_F	Sterolibacteriaceae (F) NF=4.8
Sulfuritalea_G	Sulfuritalea (G) NF=22.7
Sterolibacterium_G	Sterolibacterium (G) NF=6.7
Methyloversatilis_G	Methyloversatilis (G) NF=2.2
Rugosibacter_G	Rugosibacter (G) NF=0.5
Denitratisoma_G	Denitratisoma (G) NF=14.0
Sulfurisoma_G	Sulfurisoma (G) NF=0.5
Georgfuchsia_G	Georgfuchsia (G) NF=2.0
Sulfuricellaceae_F	Sulfuricellaceae (F) NF=3.3
Sulfuricella_G	Sulfuricella (G) NF=2.2
Sulfuriferula_G	Sulfuriferula (G) NF=4.7
Sulfurirhabdus_G	Sulfurirhabdus (G) NF=6.0
Rhodocyclales_O	Rhodocyclales (O)
Rhodocyclaceae_F	Rhodocyclaceae (F) NF=6.2
Propionivibrio_G	Propionivibrio (G) NF=6.1
Azospira_G	Azospira (G) NF=3.5
Niveibacterium_G	Niveibacterium (G) NF=0.9
Azovibrio_G	Azovibrio (G) NF=8.0
Rhodocyclus_G	Rhodocyclus (G) NF=0.3
Zoogloeaceae_F	Zoogloeaceae (F) NF=2.9
Thauera_G	Thauera (G) NF=3.0
Zoogloea_G	Zoogloea (G) NF=7.8
Azoarcus_G	Azoarcus (G) NF=4.6
Uliginosibacterium_G	Uliginosibacterium (G) NF=1.8
Denitromonas_G	Denitromonas (G) NF=2.2
Azonexaceae_F	Azonexaceae (F) NF=3.2
Dechloromonas_G	Dechloromonas (G) NF=3.7
Azonexus_G	Azonexus (G) NF=1.9
Ferribacterium_G	Ferribacterium (G) NF=15.0
Ferrovales_O	Ferrovales (O)
Ferrovaceae_F	Ferrovaceae (F) NF=3.2
Ferrovum_G	Ferrovum (G) NF=3.6
Betaproteobacteria_incertae_sedis_N	Betaproteobacteria incertae sedis (N)
Chitinivorax_G	Chitinivorax (G) NF=1.5
Alphaproteobacteria_C	Alphaproteobacteria (C)
Rhodobacterales_O	Rhodobacterales (O)
Paracoccaceae_F	Paracoccaceae (F) NF=1.2
Planktomarina_G	Planktomarina (G) NF=9.0
Amylibacter_G	Amylibacter (G) NF=5.3
Yoonia_G	Yoonia (G) NF=0.3
Pseudooceanicola_G	Pseudooceanicola (G) NF=1.1
Gemmobacter_G	Gemmobacter (G) NF=1.9
Rhodovulum_G	Rhodovulum (G) NF=1.4
Aliiroseovarius_G	Aliiroseovarius (G) NF=0.5
Tabrizicola_G	Tabrizicola (G) NF=3.1
Pseudorhodobacter_G	Pseudorhodobacter (G) NF=2.8
Cereibacter_G	Cereibacter (G) NF=0.6
Limimaricola_G	Limimaricola (G) NF=0.3
Ascidiaceihabitans_G	Ascidiaceihabitans (G) NF=5.0
Thioclava_G	Thioclava (G) NF=0.5
Marivivens_group_N	Marivivens group (N)
Marivivens_G	Marivivens (G) NF=0.9
Pseudophaeobacter_G	Pseudophaeobacter (G) NF=0.7
Boseongicola_G	Boseongicola (G) NF=0.5
Amaricoccus_G	Amaricoccus (G) NF=4.1
Nioella_G	Nioella (G) NF=1.8
Silicimonas_G	Silicimonas (G) NF=4.5
Roseinatronobacter_G	Roseinatronobacter (G) NF=0.1
Planktotalea_G	Planktotalea (G) NF=3.5
Cognatishimia_G	Cognatishimia (G) NF=1.0
Albidovulum_G	Albidovulum (G) NF=2.6
Aestuariivita_G	Aestuariivita (G) NF=0.3
Natronohydrobacter_G	Natronohydrobacter (G) NF=0.3
Sedimentitalea_G	Sedimentitalea (G) NF=1.1
Halocynthiibacter_G	Halocynthiibacter (G) NF=0.5
Limibaculum_G	Limibaculum (G) NF=38.5
Haematobacter_G	Haematobacter (G) NF=1.0
Cognatiyoonia_G	Cognatiyoonia (G) NF=0.7
Puniceibacterium_G	Puniceibacterium (G) NF=0.2
Falsirhodobacter_G	Falsirhodobacter (G) NF=1.7
Pontivivens_G	Pontivivens (G) NF=1.2
Flavimaricola_G	Flavimaricola (G) NF=5.0
Brevirhabdus_G	Brevirhabdus (G) NF=0.5
Albimonas_G	Albimonas (G) NF=3.2
Thalassobium_G	Thalassobium (G) NF=0.5
Cribrihabitans_G	Cribrihabitans (G) NF=1.5
Oceaniglobus_G	Oceaniglobus (G) NF=0.4
Marinibacterium_G	Marinibacterium (G) NF=3.0
Rubrimonas_G	Rubrimonas (G) NF=4.5
Oceanicella_G	Oceanicella (G) NF=4.5
Pseudooctadecabacter_G	Pseudooctadecabacter (G) NF=0.5
Jhaorihella_G	Jhaorihella (G) NF=3.0
Halovulum_G	Halovulum (G) NF=5.0
Pseudaestuariivita_G	Pseudaestuariivita (G) NF=1.0
Aestuariibius_G	Aestuariibius (G) NF=0.7
Psychromarinibacter_G	Psychromarinibacter (G) NF=1.0
Polymorphum_G	Polymorphum (G) NF=0.5
Roseicitreum_G	Roseicitreum (G) NF=2.0
Agaricicola_G	Agaricicola (G) NF=2.0
Marimonas_G	Marimonas (G) NF=0.5
Pseudoroseicyclus_G	Pseudoroseicyclus (G) NF=0.5
Litorisediminicola_G	Litorisediminicola (G) NF=1.0
Rubricella_G	Rubricella (G) NF=1.0
Lacimonas_G	Lacimonas (G) NF=3.0
Aquimixticola_G	Aquimixticola (G) NF=2.0
Aestuariicoccus_G	Aestuariicoccus (G) NF=10.0
Rhodobaculum_G	Rhodobaculum (G) NF=22.0
Halodurantibacterium_G	Halodurantibacterium (G) NF=9.0
Albirhodobacter_G	Albirhodobacter (G) NF=5.0
Plastorhodobacter_G	Plastorhodobacter (G) NF=1.0
Roseobacteraceae_F	Roseobacteraceae (F) NF=0.8
Sulfitobacter_G	Sulfitobacter (G) NF=0.7
Ruegeria_G	Ruegeria (G) NF=0.6
Roseobacter_G	Roseobacter (G) NF=0.4
Phaeobacter_G	Phaeobacter (G) NF=0.1
Roseovarius_G	Roseovarius (G) NF=1.4
Salipiger_G	Salipiger (G) NF=0.2
Tateyamaria_G	Tateyamaria (G) NF=1.5
Marinovum_G	Marinovum (G) NF=1.0
Loktanella_G	Loktanella (G) NF=0.9
Marivita_G	Marivita (G) NF=1.4
Celeribacter_G	Celeribacter (G) NF=1.0
Shimia_G	Shimia (G) NF=0.1
Leisingera_G	Leisingera (G) NF=0.3
Octadecabacter_G	Octadecabacter (G) NF=1.3
Dinoroseobacter_G	Dinoroseobacter (G) NF=4.2
Maritimibacter_G	Maritimibacter (G) NF=0.9
Roseicyclus_G	Roseicyclus (G) NF=0.5
Lentibacter_G	Lentibacter (G) NF=4.5
Litoreibacter_G	Litoreibacter (G) NF=0.5
Jannaschia_G	Jannaschia (G) NF=0.9
Mameliella_G	Mameliella (G) NF=0.5
Sagittula_G	Sagittula (G) NF=1.1
Thalassovita_G	Thalassovita (G) NF=0.1
Actibacterium_G	Actibacterium (G) NF=1.4
Rubellimicrobium_G	Rubellimicrobium (G) NF=5.7
Roseivivax_G	Roseivivax (G) NF=2.8
Donghicola_G	Donghicola (G) NF=1.7
Palleronia_G	Palleronia (G) NF=0.2
Epibacterium_G	Epibacterium (G) NF=1.4
Thalassococcus_G	Thalassococcus (G) NF=1.9
Tropicimonas_G	Tropicimonas (G) NF=3.2
Pelagimonas_G	Pelagimonas (G) NF=0.4
Seohaeicola_G	Seohaeicola (G) NF=0.4
Pseudoruegeria_G	Pseudoruegeria (G) NF=2.1
Lutimaribacter_G	Lutimaribacter (G) NF=1.8
Nereida_G	Nereida (G) NF=0.3
Oceanicola_G	Oceanicola (G) NF=1.9
Primorskyibacter_G	Primorskyibacter (G) NF=1.2
Tropicibacter_G	Tropicibacter (G) NF=1.8
Ketogulonicigenium_G	Ketogulonicigenium (G) NF=1.0
Citreicella_G	Citreicella (G) NF=0.2
Antarctobacter_G	Antarctobacter (G) NF=1.0
Wenxinia_G	Wenxinia (G) NF=3.5
Sediminimonas_G	Sediminimonas (G) NF=8.5
Tranquillimonas_G	Tranquillimonas (G) NF=0.5
Pontibaca_G	Pontibaca (G) NF=1.0
Poseidonocella_G	Poseidonocella (G) NF=1.0
Hasllibacter_G	Hasllibacter (G) NF=0.7
Citreimonas_G	Citreimonas (G) NF=0.5
Pelagibaca_G	Pelagibaca (G) NF=6.0
Oceaniovalibus_G	Oceaniovalibus (G) NF=1.5
Roseisalinus_G	Roseisalinus (G) NF=3.0
Salinihabitans_G	Salinihabitans (G) NF=3.0
Profundibacterium_G	Profundibacterium (G) NF=3.0
Nautella_G	Nautella (G) NF=4.0
Neomegalonemataceae_F	Neomegalonemataceae (F) NF=0.7
Neomegalonema_G	Neomegalonema (G) NF=0.7
Rhodobacter_group_N	Rhodobacter group (N)
Rhodobacter_G	Rhodobacter (G) NF=4.5
Paenirhodobacter_G	Paenirhodobacter (G) NF=0.1
Hyphomicrobiales_O	Hyphomicrobiales (O)
Rhizobiaceae_F	Rhizobiaceae (F) NF=1.0
Rhizobium/Agrobacterium_group_N	Rhizobium/Agrobacterium group (N)
Rhizobium_G	Rhizobium (G) NF=0.5
Agrobacterium_G	Agrobacterium (G) NF=0.7
Neorhizobium_G	Neorhizobium (G) NF=0.2
Allorhizobium_G	Allorhizobium (G) NF=0.4
Pararhizobium_G	Pararhizobium (G) NF=0.4
Pseudorhizobium_G	Pseudorhizobium (G) NF=0.1
Sinorhizobium/Ensifer_group_N	Sinorhizobium/Ensifer group (N)
Sinorhizobium_G	Sinorhizobium (G) NF=0.5
Ensifer_G	Ensifer (G) NF=0.6
Liberibacter_G	Liberibacter (G) NF=0.1
Lentilitoribacter_G	Lentilitoribacter (G) NF=1.3
Shinella_G	Shinella (G) NF=0.4
Hoeflea_G	Hoeflea (G) NF=0.3
Ciceribacter_G	Ciceribacter (G) NF=0.2
Mycoplana_G	Mycoplana (G) NF=0.6
Phyllobacteriaceae_F	Phyllobacteriaceae (F) NF=0.3
Mesorhizobium_G	Mesorhizobium (G) NF=0.2
Nitratireductor_G	Nitratireductor (G) NF=1.9
Phyllobacterium_G	Phyllobacterium (G) NF=0.9
Aminobacter_G	Aminobacter (G) NF=1.0
Aquamicrobium_G	Aquamicrobium (G) NF=1.8
Chelativorans_G	Chelativorans (G) NF=0.8
Pseudaminobacter_G	Pseudaminobacter (G) NF=3.8
Tianweitania_G	Tianweitania (G) NF=0.2
Aliihoeflea_G	Aliihoeflea (G) NF=1.2
Nitrobacteraceae_F	Nitrobacteraceae (F) NF=0.3
Bradyrhizobium_G	Bradyrhizobium (G) NF=0.3
Afipia_G	Afipia (G) NF=1.1
Rhodopseudomonas_G	Rhodopseudomonas (G) NF=0.8
Tardiphaga_G	Tardiphaga (G) NF=0.3
Rhodoplanes_G	Rhodoplanes (G) NF=5.3
Nitrobacter_G	Nitrobacter (G) NF=0.8
Variibacter_G	Variibacter (G) NF=1.0
Brucellaceae_F	Brucellaceae (F) NF=0.6
Brucella/Ochrobactrum_group_N	Brucella/Ochrobactrum group (N)
Brucella_G	Brucella (G) NF=0.1
Ochrobactrum_G	Ochrobactrum (G) NF=1.2
Pseudochrobactrum_G	Pseudochrobactrum (G) NF=1.2
Paenochrobactrum_G	Paenochrobactrum (G) NF=1.5
Falsochrobactrum_G	Falsochrobactrum (G) NF=0.7
Daeguia_G	Daeguia (G) NF=1.0
Hyphomicrobiaceae_F	Hyphomicrobiaceae (F) NF=6.8
Hyphomicrobium_G	Hyphomicrobium (G) NF=6.7
Methyloceanibacter_G	Methyloceanibacter (G) NF=2.4
Rhodomicrobium_G	Rhodomicrobium (G) NF=8.1
Filomicrobium_G	Filomicrobium (G) NF=12.5
Methyloligella_G	Methyloligella (G) NF=0.3
Dichotomicrobium_G	Dichotomicrobium (G) NF=10.0
Xanthobacteraceae_F	Xanthobacteraceae (F) NF=3.3
Pseudolabrys_G	Pseudolabrys (G) NF=22.2
Xanthobacter_G	Xanthobacter (G) NF=0.2
Ancylobacter_G	Ancylobacter (G) NF=0.0
Azorhizobium_G	Azorhizobium (G) NF=0.4
Aquabacter_G	Aquabacter (G) NF=0.1
Starkeya_G	Starkeya (G) NF=0.5
Methylobacteriaceae_F	Methylobacteriaceae (F) NF=0.6
Methylobacterium_G	Methylobacterium (G) NF=0.4
Microvirga_G	Microvirga (G) NF=1.3
Methylorubrum_G	Methylorubrum (G) NF=0.7
Enterovirga_G	Enterovirga (G) NF=0.2
Bartonellaceae_F	Bartonellaceae (F) NF=0.1
Bartonella_G	Bartonella (G) NF=0.1
Devosiaceae_F	Devosiaceae (F) NF=2.0
Devosia_G	Devosia (G) NF=1.6
Pelagibacterium_G	Pelagibacterium (G) NF=1.4
Maritalea_G	Maritalea (G) NF=1.5
Cucumibacter_G	Cucumibacter (G) NF=2.5
Arsenicitalea_G	Arsenicitalea (G) NF=5.0
Stappiaceae_F	Stappiaceae (F) NF=0.6
Roseibium_G	Roseibium (G) NF=0.1
Pseudovibrio_G	Pseudovibrio (G) NF=0.5
Labrenzia_G	Labrenzia (G) NF=1.0
Pannonibacter_G	Pannonibacter (G) NF=0.7
Stappia_G	Stappia (G) NF=0.8
Breoghania_G	Breoghania (G) NF=1.8
Beijerinckiaceae_F	Beijerinckiaceae (F) NF=11.3
Methylovirgula_G	Methylovirgula (G) NF=1.8
Methylocella_G	Methylocella (G) NF=1.8
Methylocapsa_G	Methylocapsa (G) NF=0.6
Beijerinckia_G	Beijerinckia (G) NF=1.3
Methyloferula_G	Methyloferula (G) NF=9.0
Rhodobiaceae_F	Rhodobiaceae (F) NF=0.5
Parvibaculaceae_F	Parvibaculaceae (F) NF=4.5
Parvibaculum_G	Parvibaculum (G) NF=5.8
Anderseniella_G	Anderseniella (G) NF=4.0
Pyruvatibacter_G	Pyruvatibacter (G) NF=1.7
Tepidicaulis_G	Tepidicaulis (G) NF=1.5
Methylocystaceae_F	Methylocystaceae (F) NF=1.1
Methylocystis_G	Methylocystis (G) NF=1.0
Methylosinus_G	Methylosinus (G) NF=1.0
Aurantimonadaceae_F	Aurantimonadaceae (F) NF=0.7
Aurantimonas_G	Aurantimonas (G) NF=0.7
Aureimonas_G	Aureimonas (G) NF=1.0
Martelella_G	Martelella (G) NF=0.8
Jiella_G	Jiella (G) NF=0.1
Fulvimarina_G	Fulvimarina (G) NF=0.4
Boseaceae_F	Boseaceae (F) NF=0.7
Reyranellaceae_F	Reyranellaceae (F) NF=12.2
Reyranella_G	Reyranella (G) NF=10.9
Kaistiaceae_F	Kaistiaceae (F) NF=4.2
Bauldia_G	Bauldia (G) NF=24.3
Kaistia_G	Kaistia (G) NF=1.0
Prosthecomicrobium_G	Prosthecomicrobium (G) NF=2.3
Ahrensiaceae_F	Ahrensiaceae (F) NF=2.7
Roseitalea_G	Roseitalea (G) NF=1.2
Ahrensia_G	Ahrensia (G) NF=0.7
Oricola_G	Oricola (G) NF=0.4
Pseudahrensia_G	Pseudahrensia (G) NF=51.0
Roseiarcaceae_F	Roseiarcaceae (F) NF=14.5
Roseiarcus_G	Roseiarcus (G) NF=19.3
Chelatococcaceae_F	Chelatococcaceae (F) NF=0.7
Chelatococcus_G	Chelatococcus (G) NF=0.7
Camelimonas_G	Camelimonas (G) NF=1.3
Pseudochelatococcus_G	Pseudochelatococcus (G) NF=2.0
Cohaesibacteraceae_F	Cohaesibacteraceae (F) NF=3.3
Cohaesibacter_G	Cohaesibacter (G) NF=3.7
Pleomorphomonadaceae_F	Pleomorphomonadaceae (F) NF=1.7
Pleomorphomonas_G	Pleomorphomonas (G) NF=1.1
Oharaeibacter_G	Oharaeibacter (G) NF=1.0
Methylobrevis_G	Methylobrevis (G) NF=1.0
Chthonobacter_G	Chthonobacter (G) NF=2.5
Hartmannibacter_G	Hartmannibacter (G) NF=1.0
Alsobacteraceae_F	Alsobacteraceae (F) NF=1.0
Alsobacter_G	Alsobacter (G) NF=1.0
Afifellaceae_F	Afifellaceae (F) NF=1.1
Afifella_G	Afifella (G) NF=1.4
Phreatobacteraceae_F	Phreatobacteraceae (F) NF=5.6
Phreatobacter_G	Phreatobacter (G) NF=7.5
Salinarimonadaceae_F	Salinarimonadaceae (F) NF=1.0
Salinarimonas_G	Salinarimonas (G) NF=1.5
Blastochloridaceae_F	Blastochloridaceae (F) NF=0.5
Blastochloris_G	Blastochloris (G) NF=0.6
Ancalomicrobiaceae_F	Ancalomicrobiaceae (F) NF=0.1
Amorphaceae_F	Amorphaceae (F) NF=1.4
Acuticoccus_G	Acuticoccus (G) NF=1.4
Amorphus_G	Amorphus (G) NF=1.3
Tepidamorphaceae_F	Tepidamorphaceae (F) NF=2.4
Tepidamorphus_G	Tepidamorphus (G) NF=3.8
Microbaculum_G	Microbaculum (G) NF=0.5
Lutibaculum_G	Lutibaculum (G) NF=1.0
Segnochrobactraceae_F	Segnochrobactraceae (F) NF=0.8
Pseudoxanthobacter_G	Pseudoxanthobacter (G) NF=1.3
Rhodoblastaceae_F	Rhodoblastaceae (F)
Rhodoblastus_G	Rhodoblastus (G) NF=1.8
Hyphomicrobiales_incertae_sedis_N	Hyphomicrobiales incertae sedis (N)
Enhydrobacter_G	Enhydrobacter (G) NF=2.6
Pseudorhodoplanes_G	Pseudorhodoplanes (G) NF=3.3
Nordella_G	Nordella (G) NF=21.5
Methylopilaceae_F	Methylopilaceae (F)
Methylopila_G	Methylopila (G) NF=0.3
Hansschlegelia_G	Hansschlegelia (G) NF=0.8
Notoacmeibacteraceae_F	Notoacmeibacteraceae (F)
Zhengella_G	Zhengella (G) NF=0.3
Rhodoligotrophaceae_F	Rhodoligotrophaceae (F)
Rhodoligotrophos_G	Rhodoligotrophos (G) NF=1.7
Sphingomonadales_O	Sphingomonadales (O)
Sphingomonadaceae_F	Sphingomonadaceae (F) NF=1.3
Sphingomonas_G	Sphingomonas (G) NF=1.3
Novosphingobium_G	Novosphingobium (G) NF=1.1
Sphingobium_G	Sphingobium (G) NF=0.9
Sphingopyxis_G	Sphingopyxis (G) NF=0.7
Sphingomicrobium_G	Sphingomicrobium (G) NF=0.4
Sphingorhabdus_G	Sphingorhabdus (G) NF=2.1
Citromicrobium_G	Citromicrobium (G) NF=0.1
Blastomonas_G	Blastomonas (G) NF=0.4
Rhizorhabdus_G	Rhizorhabdus (G) NF=0.2
Stakelama_G	Stakelama (G) NF=0.5
Parasphingopyxis_G	Parasphingopyxis (G) NF=1.5
Rhizorhapis_G	Rhizorhapis (G) NF=7.0
Erythrobacteraceae_F	Erythrobacteraceae (F) NF=1.0
Erythrobacter/Porphyrobacter_group_N	Erythrobacter/Porphyrobacter group (N)
Erythrobacter_G	Erythrobacter (G) NF=1.1
Porphyrobacter_G	Porphyrobacter (G) NF=1.9
Qipengyuania_G	Qipengyuania (G) NF=0.0
Altererythrobacter_G	Altererythrobacter (G) NF=5.6
Croceicoccus_G	Croceicoccus (G) NF=0.2
Sphingosinicellaceae_F	Sphingosinicellaceae (F) NF=1.4
Sandarakinorhabdus_G	Sandarakinorhabdus (G) NF=0.9
Sphingosinicella_G	Sphingosinicella (G) NF=0.8
Polymorphobacter_G	Polymorphobacter (G) NF=1.9
Sandaracinobacter_G	Sandaracinobacter (G) NF=6.0
Pacificimonas_G	Pacificimonas (G) NF=0.2
Sphingoaurantiacus_G	Sphingoaurantiacus (G) NF=17.0
Zymomonadaceae_F	Zymomonadaceae (F) NF=3.0
