LABELS
SEPARATOR TAB
DATA
Archaea_D	Archaea (D)
Methanospirillaceae_F	Methanospirillaceae (F) NF=6.4
Methanospirillum_G	Methanospirillum (G) NF=9.7
Methanocalculaceae_F	Methanocalculaceae (F) NF=2.2
Methanocalculus_G	Methanocalculus (G) NF=2.4
Methanotrichales_O	Methanotrichales (O)
Methanotrichaceae_F	Methanotrichaceae (F) NF=6.8
Methanothrix_G	Methanothrix (G) NF=7.9
Methanocellales_O	Methanocellales (O)
Methanocellaceae_F	Methanocellaceae (F) NF=5.5
Methanocella_G	Methanocella (G) NF=6.3
Archaeoglobi_C	Archaeoglobi (C)
Archaeoglobales_O	Archaeoglobales (O)
Archaeoglobaceae_F	Archaeoglobaceae (F) NF=1.6
Archaeoglobus_G	Archaeoglobus (G) NF=0.7
Geoglobus_G	Geoglobus (G) NF=1.6
Ferroglobus_G	Ferroglobus (G) NF=4.0
Thermococci_C	Thermococci (C)
Thermococcales_O	Thermococcales (O)
Thermococcaceae_F	Thermococcaceae (F) NF=0.6
Thermococcus_G	Thermococcus (G) NF=0.6
Pyrococcus_G	Pyrococcus (G) NF=0.4
Palaeococcus_G	Palaeococcus (G) NF=1.7
Methanonatronarchaeia_C	Methanonatronarchaeia (C)
Methanonatronarchaeales_O	Methanonatronarchaeales (O)
Methanonatronarchaeaceae_F	Methanonatronarchaeaceae (F) NF=3.0
Thermoplasmatota_P	Thermoplasmatota (P)
Thermoplasmata_C	Thermoplasmata (C)
Methanomassiliicoccales_O	Methanomassiliicoccales (O)
Methanomassiliicoccaceae_F	Methanomassiliicoccaceae (F) NF=0.6
Methanomassiliicoccus_G	Methanomassiliicoccus (G) NF=0.4
Thermoplasmatales_O	Thermoplasmatales (O)
Ferroplasmaceae_F	Ferroplasmaceae (F) NF=3.1
Ferroplasma_G	Ferroplasma (G) NF=3.8
Acidiplasma_G	Acidiplasma (G) NF=0.5
Thermoplasmataceae_F	Thermoplasmataceae (F) NF=6.2
Thermoplasma_G	Thermoplasma (G) NF=1.5
Cuniculiplasmataceae_F	Cuniculiplasmataceae (F) NF=2.0
Cuniculiplasma_G	Cuniculiplasma (G) NF=2.0
Picrophilaceae_F	Picrophilaceae (F) NF=0.5
Picrophilus_G	Picrophilus (G) NF=0.5
Thermoplasmatales_incertae_sedis_N	Thermoplasmatales incertae sedis (N)
Thermogymnomonas_G	Thermogymnomonas (G) NF=1.0
Thermoproteati_K	Thermoproteati (K)
Nitrososphaerota_P	Nitrososphaerota (P) NF=5.8
Nitrososphaeria_C	Nitrososphaeria (C)
Nitrosopumilales_O	Nitrosopumilales (O)
Nitrosopumilaceae_F	Nitrosopumilaceae (F) NF=10.4
Nitrosopumilus_G	Nitrosopumilus (G) NF=0.0
Nitrosarchaeum_G	Nitrosarchaeum (G) NF=4.6
Nitrososphaerales_O	Nitrososphaerales (O)
Nitrososphaeraceae_F	Nitrososphaeraceae (F) NF=9.8
Nitrososphaera_G	Nitrososphaera (G) NF=0.3
Nitrosotaleales_O	Nitrosotaleales (O)
Nitrosotaleaceae_F	Nitrosotaleaceae (F)
Nitrosotalea_G	Nitrosotalea (G) NF=0.1
Thermoproteota_P	Thermoproteota (P) NF=2.3
Thermoprotei_C	Thermoprotei (C)
Desulfurococcales_O	Desulfurococcales (O)
Desulfurococcaceae_F	Desulfurococcaceae (F) NF=4.4
Ignisphaera_G	Ignisphaera (G) NF=11.8
Thermosphaera_G	Thermosphaera (G) NF=1.0
Desulfurococcus_G	Desulfurococcus (G) NF=3.0
Thermodiscus_G	Thermodiscus (G) NF=3.0
Thermogladius_G	Thermogladius (G) NF=7.0
Aeropyrum_G	Aeropyrum (G) NF=7.7
Staphylothermus_G	Staphylothermus (G) NF=4.7
Ignicoccus_G	Ignicoccus (G) NF=1.3
Pyrodictiaceae_F	Pyrodictiaceae (F) NF=1.9
Pyrodictium_G	Pyrodictium (G) NF=1.5
Hyperthermus_G	Hyperthermus (G) NF=0.3
Sulfolobales_O	Sulfolobales (O)
Sulfolobaceae_F	Sulfolobaceae (F) NF=1.3
Saccharolobus_G	Saccharolobus (G) NF=1.7
Metallosphaera_G	Metallosphaera (G) NF=2.2
Sulfolobus_G	Sulfolobus (G) NF=0.6
Acidianus_G	Acidianus (G) NF=1.0
Sulfurisphaera_G	Sulfurisphaera (G) NF=1.3
Stygiolobus_G	Stygiolobus (G) NF=1.0
Thermoproteales_O	Thermoproteales (O)
Thermoproteaceae_F	Thermoproteaceae (F) NF=2.3
Pyrobaculum_G	Pyrobaculum (G) NF=3.7
Vulcanisaeta_G	Vulcanisaeta (G) NF=1.9
Thermoproteus_G	Thermoproteus (G) NF=1.2
Caldivirga_G	Caldivirga (G) NF=0.7
Thermocladium_G	Thermocladium (G) NF=1.5
Acidilobales_O	Acidilobales (O)
Acidilobaceae_F	Acidilobaceae (F) NF=1.2
Acidilobus_G	Acidilobus (G) NF=2.1
Caldisphaeraceae_F	Caldisphaeraceae (F) NF=4.0
Caldisphaera_G	Caldisphaera (G) NF=4.0
Thermofilales_O	Thermofilales (O)
Thermofilaceae_F	Thermofilaceae (F) NF=2.9
Thermofilum_G	Thermofilum (G) NF=5.1
Fervidicoccales_O	Fervidicoccales (O)
Fervidicoccaceae_F	Fervidicoccaceae (F) NF=9.0
Fervidicoccus_G	Fervidicoccus (G) NF=5.0
Nanobdellati_K	Nanobdellati (K)
Nanobdellota_P	Nanobdellota (P) NF=117.7
Candidatus_Nanoarchaeia_C	Candidatus Nanoarchaeia (C)
Nanoarchaeales_O	Nanoarchaeales (O)
Nanopusillaceae_F	Nanopusillaceae (F) NF=1.6
Nanoarchaeaceae_F	Nanoarchaeaceae (F) NF=8.5
Nanoarchaeum_G	Nanoarchaeum (G) NF=8.5
