node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Peridiniales,order,2,24.85,12.42,468,Sar > Alveolata > Dinophyceae,"Pentapharsodinium(18.3), Scrippsiella(6.5)",Pentapharsodinium;Scrippsiella
Lamiales,order,2,24.75,12.38,239,Pentapetalae > asterids > lamiids,"Cyclotrichium(14.5), Rehmannia(10.3)",Cyclotrichium;Rehmannia
Vorticellidae,family,2,24.49,12.25,138,Oligohymenophorea > Peritrichia > Sessilida,"Vorticella(15.6), Pseudovorticella(8.9)",Vorticella;Pseudovorticella
Thaumatomonadida,order,2,24.24,12.12,96,Cercozoa > Imbricatea > Silicofilosea,"Thaumatomonadida.U.genus(14.7), Thaumatomonas(9.5)",Thaumatomonadida.U.genus;Thaumatomonas
Rhabdomonadales,order,2,23.98,11.99,50,Euglenida > Spirocuta > Aphagea,"Gyropaigne(12.1), Distigma(11.9)",Gyropaigne;Distigma
Cryomonadida,order,3,23.01,7.67,11,Rhizaria > Cercozoa > Thecofilosea,"Cryomonadida.U.genus(8.5), Protaspa(8.0), Cryothecomonas(6.5)",Cryomonadida.U.genus;Protaspa;Cryothecomonas
Amphitremida,order,2,22.17,11.09,33,Stramenopiles > Bigyra > Labyrinthulomycetes,"Diplophrys(11.2), Amphitrema(11.0)",Diplophrys;Amphitrema
Rigifilida,order,2,20.97,10.48,25,cellular organisms > Eukaryota > CRuMs,"Rigifila(10.6), Micronuclearia(10.4)",Rigifila;Micronuclearia
Hypocreales,order,3,20.82,6.94,755,sordariomyceta > Sordariomycetes > Hypocreomycetidae,"Lecanicillium(8.4), Isaria(7.9), Gibberella(4.5)",Lecanicillium;Isaria;Gibberella
Pleosporales,order,3,20.61,6.87,228,dothideomyceta > Dothideomycetes > Pleosporomycetidae,"Phaeosphaeria(8.9), Corynespora(6.7), Massaria(5.0)",Phaeosphaeria;Corynespora;Massaria
Chlorellales,order,3,20.38,6.79,288,Chlorophyta > core chlorophytes > Trebouxiophyceae,"Chloroparva(10.0), Chlorellales_X.U.genus(6.2), Auxenochlorella(4.2)",Chloroparva;Chlorellales_X.U.genus;Auxenochlorella
Chaetonotidae,family,2,19.96,9.98,99,Gastrotricha > Chaetonotida > Paucitubulatina,"Chaetonotus(15.0), Heterolepidoderma(5.0)",Chaetonotus;Heterolepidoderma
