taxon,rank,domain,lineage,seq_count,avg_length,min_length,max_length
Verrucomicrobiota,phylum,bacteria,Bacteria > Pseudomonadati > PVC group,456,1466.6,1216,1615
Verrucomicrobiia,class,bacteria,Pseudomonadati > PVC group > Verrucomicrobiota,195,1461.4,1204,1883
