taxon_name,level,novelty_factor,taxid,lineage,lineage_taxids
Pseudomonadota,phylum,1.607,1224,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota,131567;2;3379134;1224
Bacillota,phylum,3.459,1239,cellular organisms;Bacteria;Bacillati;Bacillota,131567;2;1783272;1239
Campylobacterota,phylum,3.136,29547,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota,131567;2;3379134;29547
Bacteroidota,phylum,4.254,976,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota,131567;2;3379134;1783270;68336;976
Actinomycetota,phylum,0.886,201174,cellular organisms;Bacteria;Bacillati;Actinomycetota,131567;2;1783272;201174
Chloroflexota,phylum,18.45,200795,cellular organisms;Bacteria;Bacillati;Chloroflexota,131567;2;1783272;200795
Acidobacteriota,phylum,24.659,57723,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota,131567;2;3379134;57723
Verrucomicrobiota,phylum,16.855,74201,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota,131567;2;3379134;1783257;74201
Planctomycetota,phylum,26.343,203682,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota,131567;2;3379134;1783257;203682
Thermodesulfobacteriota,phylum,6.884,200940,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota,131567;2;3379134;200940
Spirochaetota,phylum,6.819,203691,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota,131567;2;3379134;203691
Euryarchaeota,phylum,2.048,28890,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota,131567;2157;3366610;28890
Cyanobacteriota,phylum,0.628,1117,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota,131567;2;1783272;1798711;1117
Myxococcota,phylum,14.306,2818505,cellular organisms;Bacteria;Pseudomonadati;Myxococcota,131567;2;3379134;2818505
Mycoplasmatota,phylum,2.48,544448,cellular organisms;Bacteria;Bacillati;Mycoplasmatota,131567;2;1783272;544448
Gemmatimonadota,phylum,19.969,142182,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota,131567;2;3379134;1783270;142182
Nitrososphaerota,phylum,5.786,651137,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota,131567;2157;1783275;651137
Nitrospirota,phylum,5.31,40117,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota,131567;2;3379134;40117
Thermoproteota,phylum,2.276,28889,cellular organisms;Archaea;Thermoproteati;Thermoproteota,131567;2157;1783275;28889
Bdellovibrionota,phylum,10.713,3018035,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota,131567;2;3379134;3018035
Ignavibacteriota,phylum,0.094,1134404,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Ignavibacteriota,131567;2;3379134;1783270;68336;1134404
Fusobacteriota,phylum,4.637,32066,cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota,131567;2;3384189;32066
Chlamydiota,phylum,0.105,204428,cellular organisms;Bacteria;Pseudomonadati;PVC group;Chlamydiota,131567;2;3379134;1783257;204428
Elusimicrobiota,phylum,4.369,74152,cellular organisms;Bacteria;Pseudomonadati;Elusimicrobiota,131567;2;3379134;74152
Armatimonadota,phylum,15.344,67819,cellular organisms;Bacteria;Bacillati;Armatimonadota,131567;2;1783272;67819
Synergistota,phylum,4.854,508458,cellular organisms;Bacteria;Thermotogati;Synergistota,131567;2;3384194;508458
Deferribacterota,phylum,2.676,200930,cellular organisms;Bacteria;Pseudomonadati;Deferribacterota,131567;2;3379134;200930
Deinococcota,phylum,2.614,1297,cellular organisms;Bacteria;Thermotogati;Deinococcota,131567;2;3384194;1297
Chlorobiota,phylum,0.054,1090,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Chlorobiota,131567;2;3379134;1783270;68336;1090
Nanoarchaeota,phylum,117.704,192989,cellular organisms;Archaea;Nanobdellati;Nanobdellota,131567;2157;1783276;192989
Thermotogota,phylum,1.197,200918,cellular organisms;Bacteria;Thermotogati;Thermotogota,131567;2;3384194;200918
Fibrobacterota,phylum,8.216,65842,cellular organisms;Bacteria;Pseudomonadati;FCB group;Fibrobacterota,131567;2;3379134;1783270;65842
Aquificota,phylum,2.767,200783,cellular organisms;Bacteria;Pseudomonadati;Aquificota,131567;2;3379134;200783
Nitrospinota,phylum,9.098,1293497,cellular organisms;Bacteria;Pseudomonadati;Nitrospinota/Tectimicrobiota group;Nitrospinota,131567;2;3379134;1802340;1293497
Thermomicrobiota,phylum,25.55,3027942,cellular organisms;Bacteria;Pseudomonadati;Thermomicrobiota,131567;2;3379134;3027942
Calditrichota,phylum,35.0,1930617,cellular organisms;Bacteria;Pseudomonadati;Calditrichota,131567;2;3379134;1930617
Atribacterota,phylum,3.656,67818,cellular organisms;Bacteria;Pseudomonadati;Atribacterota,131567;2;3379134;67818
Caldisericota,phylum,4.952,67814,cellular organisms;Bacteria;Pseudomonadati;Caldisericota/Cryosericota group;Caldisericota,131567;2;3379134;2498710;67814
Abditibacteriota,phylum,36.714,2109258,cellular organisms;Bacteria;Pseudomonadati;Abditibacteriota,131567;2;3379134;2109258
Coprothermobacterota,phylum,9.333,2138240,cellular organisms;Bacteria;Pseudomonadati;Coprothermobacterota,131567;2;3379134;2138240
Dictyoglomota,phylum,0.875,68297,cellular organisms;Bacteria;Pseudomonadati;Dictyoglomota,131567;2;3379134;68297
Chrysiogenota,phylum,0.833,200938,cellular organisms;Bacteria;Pseudomonadati;Chrysiogenota,131567;2;3379134;200938
Enterobacteriaceae,family,0.496,543,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,131567;2;3379134;1224;1236;91347;543
Streptococcaceae,family,2.275,1300,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae,131567;2;1783272;1239;91061;186826;1300
Campylobacteraceae,family,0.618,72294,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae,131567;2;3379134;29547;3031852;213849;72294
Staphylococcaceae,family,1.138,90964,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae,131567;2;1783272;1239;91061;1385;90964
Listeriaceae,family,0.705,186820,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Listeriaceae,131567;2;1783272;1239;91061;1385;186820
Neisseriaceae,family,2.098,481,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae,131567;2;3379134;1224;28216;206351;481
Pseudomonadaceae,family,0.777,135621,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,131567;2;3379134;1224;1236;72274;135621
Enterococcaceae,family,0.937,81852,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae,131567;2;1783272;1239;91061;186826;81852
Moraxellaceae,family,1.023,468,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae,131567;2;3379134;1224;1236;2887326;468
Lachnospiraceae,family,8.504,186803,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae,131567;2;1783272;1239;186801;3085636;186803
Vibrionaceae,family,0.849,641,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae,131567;2;3379134;1224;1236;135623;641
Muribaculaceae,family,24.172,2005473,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,131567;2;3379134;1783270;68336;976;200643;171549;2005473
Oscillospiraceae,family,5.537,216572,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae,131567;2;1783272;1239;186801;186802;216572
Peptostreptococcaceae,family,3.197,186804,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae,131567;2;1783272;1239;186801;3082720;186804
Bacillaceae,family,1.685,186817,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae,131567;2;1783272;1239;91061;1385;186817
Lactobacillaceae,family,1.938,33958,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae,131567;2;1783272;1239;91061;186826;33958
Bacteroidaceae,family,3.191,815,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,131567;2;3379134;1783270;68336;976;200643;171549;815
Mycobacteriaceae,family,0.507,1762,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae,131567;2;1783272;201174;1760;85007;1762
Yersiniaceae,family,1.173,1903411,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae,131567;2;3379134;1224;1236;91347;1903411
Streptomycetaceae,family,0.197,2062,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae,131567;2;1783272;201174;1760;85011;2062
Burkholderiaceae,family,0.872,119060,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae,131567;2;3379134;1224;28216;80840;119060
Clostridiaceae,family,2.339,31979,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae,131567;2;1783272;1239;186801;186802;31979
Prevotellaceae,family,6.217,171552,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae,131567;2;3379134;1783270;68336;976;200643;171549;171552
Flavobacteriaceae,family,1.699,49546,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae,131567;2;3379134;1783270;68336;976;117743;200644;49546
Xanthomonadaceae,family,1.128,32033,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae,131567;2;3379134;1224;1236;135614;32033
Rikenellaceae,family,16.212,171550,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,131567;2;3379134;1783270;68336;976;200643;171549;171550
Pasteurellaceae,family,3.14,712,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae,131567;2;3379134;1224;1236;135625;712
Legionellaceae,family,4.574,444,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae,131567;2;3379134;1224;1236;118969;444
Morganellaceae,family,0.985,1903414,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae,131567;2;3379134;1224;1236;91347;1903414
Bifidobacteriaceae,family,0.409,31953,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae,131567;2;1783272;201174;1760;85004;31953
Helicobacteraceae,family,1.198,72293,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae,131567;2;3379134;29547;3031852;213849;72293
Comamonadaceae,family,1.748,80864,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae,131567;2;3379134;1224;28216;80840;80864
Paracoccaceae,family,1.24,31989,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae,131567;2;3379134;1224;28211;204455;31989
Microbacteriaceae,family,0.489,85023,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae,131567;2;1783272;201174;1760;85006;85023
Rhizobiaceae,family,0.954,82115,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae,131567;2;3379134;1224;28211;356;82115
Christensenellaceae,family,15.695,990719,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Christensenellales;Christensenellaceae,131567;2;1783272;1239;186801;3082768;990719
Alcaligenaceae,family,1.288,506,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae,131567;2;3379134;1224;28216;80840;506
Erysipelotrichaceae,family,3.867,128827,cellular organisms;Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae,131567;2;1783272;1239;526524;526525;128827
Sphingomonadaceae,family,1.268,41297,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,131567;2;3379134;1224;28211;204457;41297
Corynebacteriaceae,family,1.309,1653,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae,131567;2;1783272;201174;1760;85007;1653
Aeromonadaceae,family,1.041,84642,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae,131567;2;3379134;1224;1236;135624;84642
Coriobacteriaceae,family,0.915,84107,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,131567;2;1783272;201174;84998;84999;84107
Porphyromonadaceae,family,1.308,171551,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae,131567;2;3379134;1783270;68336;976;200643;171549;171551
Eubacteriaceae,family,1.249,186806,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae,131567;2;1783272;1239;186801;186802;186806
Chitinophagaceae,family,6.238,563835,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae,131567;2;3379134;1783270;68336;976;1853228;1853229;563835
Akkermansiaceae,family,1.609,1647988,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae,131567;2;3379134;1783257;74201;203494;48461;1647988
Roseobacteraceae,family,0.769,2854170,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae,131567;2;3379134;1224;28211;204455;2854170
Tannerellaceae,family,2.841,2005525,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae,131567;2;3379134;1783270;68336;976;200643;171549;2005525
Propionibacteriaceae,family,3.689,31957,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae,131567;2;1783272;201174;1760;85009;31957
Treponemataceae,family,4.975,2845253,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae,131567;2;3379134;203691;203692;136;2845253
Weeksellaceae,family,1.046,2762318,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae,131567;2;3379134;1783270;68336;976;117743;200644;2762318
Micrococcaceae,family,0.905,1268,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae,131567;2;1783272;201174;1760;85006;1268
Desulfovibrionaceae,family,3.273,194924,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae,131567;2;3379134;200940;3031449;213115;194924
Paenibacillaceae,family,1.106,186822,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae,131567;2;1783272;1239;91061;1385;186822
Veillonellaceae,family,3.175,31977,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae,131567;2;1783272;1239;909932;1843489;31977
Acidimicrobiaceae,family,1.048,84994,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae,131567;2;1783272;201174;84992;84993;84994
Nocardiaceae,family,0.322,85025,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae,131567;2;1783272;201174;1760;85007;85025
Eggerthellaceae,family,2.042,1643826,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae,131567;2;1783272;201174;84998;1643822;1643826
Acidobacteriaceae,family,3.093,204434,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae,131567;2;3379134;57723;204432;204433;204434
Erwiniaceae,family,1.055,1903409,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae,131567;2;3379134;1224;1236;91347;1903409
Phyllobacteriaceae,family,0.312,69277,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae,131567;2;3379134;1224;28211;356;69277
Sutterellaceae,family,3.846,995019,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae,131567;2;3379134;1224;28216;80840;995019
Odoribacteraceae,family,2.233,1853231,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae,131567;2;3379134;1783270;68336;976;200643;171549;1853231
Nitrobacteraceae,family,0.324,41294,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae,131567;2;3379134;1224;28211;356;41294
Brucellaceae,family,0.613,118882,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae,131567;2;3379134;1224;28211;356;118882
Acetobacteraceae,family,3.379,433,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae,131567;2;3379134;1224;28211;3120395;433
Anaplasmataceae,family,0.769,942,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae,131567;2;3379134;1224;28211;766;942
Planctomycetaceae,family,2.589,126,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae,131567;2;3379134;1783257;203682;203683;112;126
Prochlorococcaceae,family,0.157,2881426,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Synechococcales;Prochlorococcaceae,131567;2;1783272;1798711;1117;3028117;1890424;2881426
Caulobacteraceae,family,1.841,76892,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,131567;2;3379134;1224;28211;204458;76892
Actinomycetaceae,family,1.444,2049,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae,131567;2;1783272;201174;1760;2037;2049
Sphingobacteriaceae,family,1.541,84566,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae,131567;2;3379134;1783270;68336;976;117747;200666;84566
Metamycoplasmataceae,family,0.136,2895623,cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mycoplasmoidales;Metamycoplasmataceae,131567;2;1783272;544448;2790996;2895623
Saprospiraceae,family,30.306,89374,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Saprospiria;Saprospirales;Saprospiraceae,131567;2;3379134;1783270;68336;976;1937959;1936988;89374
Micromonosporaceae,family,0.532,28056,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae,131567;2;1783272;201174;1760;85008;28056
Atopobiaceae,family,0.74,1643824,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae,131567;2;1783272;201174;84998;84999;1643824
Francisellaceae,family,1.295,34064,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Francisellaceae,131567;2;3379134;1224;1236;72273;34064
Acidaminococcaceae,family,7.59,909930,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae,131567;2;1783272;1239;909932;1843488;909930
Nitrospiraceae,family,5.208,189779,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae,131567;2;3379134;40117;203693;189778;189779
Anaerolineaceae,family,25.958,292628,cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae,131567;2;1783272;200795;292625;292629;292628
Nocardioidaceae,family,1.615,85015,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae,131567;2;1783272;201174;1760;85009;85015
Methanobacteriaceae,family,2.36,2159,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae,131567;2157;3366610;28890;2283794;183925;2158;2159
Leptospiraceae,family,2.691,170,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae,131567;2;3379134;203691;203692;1643688;170
Oxalobacteraceae,family,1.461,75682,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,131567;2;3379134;1224;28216;80840;75682
Pectobacteriaceae,family,0.891,1903410,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae,131567;2;3379134;1224;1236;91347;1903410
Methylophilaceae,family,3.275,32011,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae,131567;2;3379134;1224;28216;32003;32011
Coprobacillaceae,family,0.63,2810280,cellular organisms;Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae,131567;2;1783272;1239;526524;526525;2810280
Gemmatimonadaceae,family,67.909,219687,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae,131567;2;3379134;1783270;142182;219685;219686;219687
Pseudonocardiaceae,family,0.83,2070,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae,131567;2;1783272;201174;1760;85010;2070
Fusobacteriaceae,family,4.48,203492,cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,131567;2;3384189;32066;203490;203491;203492
Selenomonadaceae,family,4.291,1843491,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae,131567;2;1783272;1239;909932;909929;1843491
Rhodospirillaceae,family,3.078,41295,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae,131567;2;3379134;1224;28211;204441;41295
Synechococcaceae,family,0.247,1890426,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Synechococcales;Synechococcaceae,131567;2;1783272;1798711;1117;3028117;1890424;1890426
Alteromonadaceae,family,1.797,72275,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,131567;2;3379134;1224;1236;135622;72275
Shewanellaceae,family,0.712,267890,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae,131567;2;3379134;1224;1236;135622;267890
Methylococcaceae,family,2.221,403,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae,131567;2;3379134;1224;1236;135618;403
Halomonadaceae,family,1.303,28256,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae,131567;2;3379134;1224;1236;135619;28256
Solirubrobacteraceae,family,14.25,320599,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae,131567;2;1783272;201174;1497346;588673;320599
Oceanospirillaceae,family,1.269,135620,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,131567;2;3379134;1224;1236;135619;135620
Halieaceae,family,4.7,1706372,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Halieaceae,131567;2;3379134;1224;1236;1706369;1706372
Streptosporangiaceae,family,0.427,2004,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae,131567;2;1783272;201174;1760;85012;2004
Pseudoalteromonadaceae,family,0.714,267888,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae,131567;2;3379134;1224;1236;135622;267888
Erythrobacteraceae,family,0.981,335929,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae,131567;2;3379134;1224;28211;204457;335929
Pirellulaceae,family,30.295,2691357,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae,131567;2;3379134;1783257;203682;203683;2691354;2691357
Paludibacteraceae,family,16.783,2005523,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae,131567;2;3379134;1783270;68336;976;200643;171549;2005523
Nitrosopumilaceae,family,10.373,338190,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae,131567;2157;1783275;651137;1643678;31932;338190
Borreliaceae,family,0.479,1643685,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Borreliaceae,131567;2;3379134;203691;203692;136;1643685
Arcobacteraceae,family,4.753,2808963,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae,131567;2;3379134;29547;3031852;213849;2808963
Mucispirillaceae,family,4.2,2945020,cellular organisms;Bacteria;Pseudomonadati;Deferribacterota;Deferribacteres;Deferribacterales;Mucispirillaceae,131567;2;3379134;200930;68337;191393;2945020
Ilumatobacteraceae,family,41.833,2448023,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae,131567;2;1783272;201174;84992;84993;2448023
