taxon_name,level,novelty_factor,taxid,lineage,lineage_taxids
Vagococcus,genus,0.8,2737,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus,131567;2;1783272;1239;91061;186826;81852;2737
Rathayibacter,genus,0.08,33886,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Rathayibacter,131567;2;1783272;201174;1760;85006;85023;33886
Photorhabdus,genus,1.0,29487,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Photorhabdus,131567;2;3379134;1224;1236;91347;1903414;29487
Gemmatimonas,genus,33.231,173479,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas,131567;2;3379134;1783270;142182;219685;219686;219687;173479
Caulobacter,genus,1.071,75,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter,131567;2;3379134;1224;28211;204458;76892;75
Thermococcus,genus,0.597,2263,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus,131567;2157;3366610;28890;183968;2258;2259;2263
Pseudolabrys,genus,22.25,556257,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Pseudolabrys,131567;2;3379134;1224;28211;356;335928;556257
Buchnera,genus,37.0,46073,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Lamiales;Orobanchaceae;Buchnereae;Buchnera,131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71274;91888;4143;91896;216769;46073
Slackia,genus,2.364,84108,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia,131567;2;1783272;201174;84998;1643822;1643826;84108
Nocardiopsis,genus,0.722,2013,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsidaceae;Nocardiopsis,131567;2;1783272;201174;1760;85012;83676;2013
Coprobacillus,genus,0.071,100883,cellular organisms;Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Coprobacillus,131567;2;1783272;1239;526524;526525;2810280;100883
Actinomadura,genus,0.748,1988,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura,131567;2;1783272;201174;1760;85012;2012;1988
Methanoculleus,genus,1.385,45989,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus,131567;2157;3366610;28890;2290931;224756;2191;2194;45989
Trueperella,genus,1.077,1069494,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Trueperella,131567;2;1783272;201174;1760;2037;2049;1069494
Paucibacter,genus,0.2,93681,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Roseateles,131567;2;3379134;1224;28216;80840;2975441;93681
Succinatimonas,genus,0.263,674963,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas,131567;2;3379134;1224;1236;135624;83763;674963
Kinneretia,genus,0.024,93681,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Roseateles,131567;2;3379134;1224;28216;80840;2975441;93681
Roseateles,genus,0.047,93681,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Roseateles,131567;2;3379134;1224;28216;80840;2975441;93681
Pelomonas,genus,0.306,93681,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Roseateles,131567;2;3379134;1224;28216;80840;2975441;93681
Mitsuaria,genus,0.118,93681,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Roseateles,131567;2;3379134;1224;28216;80840;2975441;93681
Halorubrum,genus,1.451,56688,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halorubrum,131567;2157;3366610;28890;2290931;183963;2235;1644056;56688
Qipengyuania,genus,0.038,1855416,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania,131567;2;3379134;1224;28211;204457;335929;1855416
