taxon_name,level,novelty_factor,source_domain,census_taxid,census_otu_count,census_size_count,ncbi_genome_count,ncbi_species_count,domain,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,strain,clade,no rank,cohort,section,species group,subcohort,subsection,varietas
Sphagnum_rubellum:plas.Chloroplast,genus,9999.0,Unknown,128231.0,12,47,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Sphagnopsida,,,,Sphagnales,,,,,Sphagnaceae,,,,Sphagnum,,Sphagnum rubellum,,,Sphagnophytina,,,,,,,
Sphagnum_palustre.Mitochondria,genus,9999.0,Unknown,13805.0,48,114,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Sphagnopsida,,,,Sphagnales,,,,,Sphagnaceae,,,,Sphagnum,,Sphagnum palustre,,,Sphagnophytina,,,,,,,
Sphagnum_angustifolium.Chloroplast,genus,9999.0,Unknown,76341.0,16,86,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Sphagnopsida,,,,Sphagnales,,,,,Sphagnaceae,,,,Sphagnum,,Sphagnum angustifolium,,,Sphagnophytina,,,,,,,
Spermatozopsis_exsultans:plas.Chloroplast,genus,9999.0,Unknown,1108794.0,9,79,0,0,Eukaryota,Viridiplantae,,Chlorophyta,,,Chlorophyceae,,,,Chlamydomonadales,,,,,Dunaliellaceae,,,,Spermatozopsis,,Spermatozopsis exsultans,,,CS clade,,,,,,,
Sorghum_bicolor_(sorghum).Mitochondria,genus,9999.0,Unknown,,5,55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum_tuberosum:plas.Chloroplast,genus,9999.0,Unknown,4113.0,1,1,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,,,,Solanales,,,,,Solanaceae,Solanoideae,Solaneae,,Solanum,,Solanum tuberosum,,,lamiids,,,,,,,
Solanum_pennellii.Chloroplast,genus,9999.0,Unknown,28526.0,1,1,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,,,,Solanales,,,,,Solanaceae,Solanoideae,Solaneae,,Solanum,Solanum subgen. Lycopersicon,Solanum pennellii,,,lamiids,,,,,,,
Solanum_nigrum:plas.Chloroplast,genus,9999.0,Unknown,4112.0,1,2,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,,,,Solanales,,,,,Solanaceae,Solanoideae,Solaneae,,Solanum,,Solanum nigrum,,,lamiids,,,,,,,
Solanum_melongena_(eggplant).Chloroplast,genus,9999.0,Unknown,,1,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum_lycopersicum_(tomato).Chloroplast,genus,9999.0,Unknown,,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum_arcanum.Chloroplast,genus,9999.0,Unknown,376710.0,1,2,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,,,,Solanales,,,,,Solanaceae,Solanoideae,Solaneae,,Solanum,Solanum subgen. Lycopersicon,Solanum arcanum,,,lamiids,,,,,,,
Sodaleptolyngbya,genus,9999.0,Unknown,2219506.0,1,1,0,0,Bacteria,Bacillati,,Cyanobacteriota,,,Cyanophyceae,,,,Oculatellales,,,,,Oculatellaceae,,,,Sodaleptolyngbya,,,,,Cyanobacteriota/Melainabacteria group,,,,,,,
Skeletonema_sp.:plas.Chloroplast,genus,9999.0,Unknown,,5,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeletonema_pseudocostatum:plas.Chloroplast,genus,9999.0,Unknown,41457.0,3,478,0,0,Eukaryota,,,Bacillariophyta,,,Coscinodiscophyceae,Thalassiosirophycidae,,,Thalassiosirales,,,,,Skeletonemataceae,,,,Skeletonema,,Skeletonema pseudocostatum,,,Ochrophyta,,,,,,,
Sirodotia_delicatula.Chloroplast,genus,9999.0,Unknown,386631.0,1,1,0,0,Eukaryota,,,Rhodophyta,,,Florideophyceae,Nemaliophycidae,,,Batrachospermales,,,,,Batrachospermaceae,,,,Sirodotia,,Sirodotia delicatula,,,,,,,,,,
Sinorickettsia,genus,9999.0,Unknown,221239.0,1,1,0,0,Bacteria,Pseudomonadati,,Pseudomonadota,,,Alphaproteobacteria,,,,Rickettsiales,,,,,,,,,Sinorickettsia,,,,,,Rickettsiales genera incertae sedis,,,,,,
Sinibacillus,genus,9999.0,Unknown,1649496.0,4,4,0,0,Bacteria,Bacillati,,Bacillota,,,Bacilli,,,,Bacillales,,,,,Bacillaceae,,,,Sinibacillus,,,,,,,,,,,,
Silene_vulgaris:plas.Chloroplast,genus,9999.0,Unknown,42043.0,1,1,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,,,,Caryophyllales,,,,,Caryophyllaceae,,Sileneae,,Silene,Silene subgen. Behenantha,Silene vulgaris,,,Pentapetalae,,,Silene sect. Behenantha,,,,
Silene_paradoxa:plas.Chloroplast,genus,9999.0,Unknown,129946.0,1,4,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,,,,Caryophyllales,,,,,Caryophyllaceae,,Sileneae,,Silene,Silene subgen. Silene,Silene paradoxa,,,Pentapetalae,,,Silene sect. Siphonomorpha,,,,
